"Provincia";"Num personas con 1 dosis";"% personas con 1 dosis";"Edad";"Num personas con pauta completa";"% personas con pauta completa";"Fecha"
"Huelva";"324";"0.71149369757125913";"De 12 a 19 años";"228";"0.50068075014273794";"17/06/2021"
"Jaén";"288";"0.53327408065770465";"De 12 a 19 años";"166";"0.30737325482353811";"17/06/2021"
"Málaga";"973";"0.66114916286149161";"De 12 a 19 años";"584";"0.3968253968253968";"17/06/2021"
"Sevilla";"1102";"0.61561838363862864";"De 12 a 19 años";"773";"0.43182668834179672";"17/06/2021"
"Almería";"3";"0.0030844840172319843";"Menores de 12 años";"2";"0.0020563226781546559";"17/06/2021"
"Cádiz";"4";"0.0026959082852001373";"Menores de 12 años";"3";"0.0020219312139001032";"17/06/2021"
"Córdoba";"7";"0.0080553285998688131";"Menores de 12 años";"7";"0.0080553285998688131";"17/06/2021"
"Granada";"1";"0.00095694695643020508";"Menores de 12 años";"1";"0.00095694695643020508";"17/06/2021"
"Huelva";"0";"0";"Menores de 12 años";"0";"0";"17/06/2021"
"Jaén";"3";"0.0045069406886605375";"Menores de 12 años";"1";"0.0015023135628868458";"17/06/2021"
"Málaga";"13";"0.0064552650134567444";"Menores de 12 años";"6";"0.0029793530831338823";"17/06/2021"
"Sevilla";"11";"0.0044802684902717077";"Menores de 12 años";"5";"0.0020364856773962309";"17/06/2021"
