"Territorio";"Confirmados PDIA";"Confirmados PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Vive en residencia";"Fecha"
"Jaén Norte";"49";"0";"0";"57";"56";"1";"Otro tipo de institución";"11/05/2021"
"Jaén Nordeste";"16";"0";"0";"16";"14";"2";"Otro tipo de institución";"11/05/2021"
"La Vega";"5";"0";"0";"5";"5";"0";"Otro tipo de institución";"11/05/2021"
"Axarquia";"2";"0";"0";"2";"2";"0";"Otro tipo de institución";"11/05/2021"
"Valle del Guadalhorce";"15";"1";"1";"17";"12";"4";"Otro tipo de institución";"11/05/2021"
"Costa del Sol";"45";"1";"0";"46";"42";"0";"Otro tipo de institución";"11/05/2021"
"Málaga (distrito)";"263";"1";"0";"302";"266";"16";"Otro tipo de institución";"11/05/2021"
"Serranía";"1";"0";"0";"1";"1";"0";"Otro tipo de institución";"11/05/2021"
"Sevilla Sur";"91";"0";"0";"94";"87";"3";"Otro tipo de institución";"11/05/2021"
"Aljarafe";"66";"0";"0";"66";"57";"7";"Otro tipo de institución";"11/05/2021"
"Sevilla Este";"5";"0";"0";"6";"6";"0";"Otro tipo de institución";"11/05/2021"
"Sevilla Norte";"11";"1";"1";"13";"11";"0";"Otro tipo de institución";"11/05/2021"
"Sevilla (distrito)";"122";"0";"0";"142";"127";"11";"Otro tipo de institución";"11/05/2021"
