"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Jaén (capital)";"112757";"7617";"264";"234.13180556417782";"91";"7783";"5927";"164";"18/02/2021"
"Jamilena";"3271";"269";"8";"244.57352491592786";"0";"270";"215";"5";"18/02/2021"
"Jimena";"1269";"105";"3";"236.40661938534279";"2";"107";"90";"2";"18/02/2021"
"Mancha Real";"11328";"693";"58";"512.00564971751407";"14";"701";"540";"10";"18/02/2021"
"Mengíbar";"9997";"680";"29";"290.08702610783234";"6";"689";"546";"11";"18/02/2021"
"Noalejo";"1932";"116";"4";"207.03933747412009";"1";"117";"85";"4";"18/02/2021"
"Pegalajar";"2875";"206";"2";"69.565217391304344";"0";"206";"183";"3";"18/02/2021"
"Torredelcampo";"14142";"1664";"20";"141.42271248762552";"4";"1682";"1187";"33";"18/02/2021"
"Torres";"1372";"66";"2";"145.77259475218659";"0";"66";"51";"1";"18/02/2021"
"Valdepeñas de Jaén";"3679";"164";"8";"217.45039412883935";"1";"165";"105";"4";"18/02/2021"
"Villares (Los)";"6020";"554";"12";"199.33554817275748";"5";"561";"456";"12";"18/02/2021"
"Villatorres";"4298";"198";"1";"23.266635644485806";"0";"209";"178";"6";"18/02/2021"
"Aldeaquemada";"476";"31";"0";"0";"0";"31";"25";"0";"18/02/2021"
"Andújar";"36615";"1700";"189";"516.1818926669398";"72";"1713";"1125";"36";"18/02/2021"
"Arjona";"5515";"238";"10";"181.32366273798732";"3";"252";"188";"8";"18/02/2021"
"Arjonilla";"3571";"114";"0";"0";"0";"133";"122";"6";"18/02/2021"
"Arquillos";"1722";"101";"0";"0";"0";"101";"76";"4";"18/02/2021"
"Bailén";"17548";"1090";"97";"552.76954638705263";"39";"1109";"754";"21";"18/02/2021"
"Baños de la Encina";"2576";"179";"4";"155.27950310559007";"0";"180";"130";"0";"18/02/2021"
"Carboneros";"591";"13";"2";"338.40947546531305";"1";"13";"2";"0";"18/02/2021"
"Carolina (La)";"15160";"676";"32";"211.08179419525067";"14";"680";"535";"21";"18/02/2021"
"Castellar";"3292";"360";"11";"334.14337788578371";"2";"360";"233";"4";"18/02/2021"
"Chiclana de Segura";"955";"33";"0";"0";"0";"34";"24";"0";"18/02/2021"
"Escañuela";"944";"38";"1";"105.93220338983051";"0";"39";"38";"0";"18/02/2021"
"Guarromán";"2739";"220";"20";"730.19350127783866";"10";"222";"143";"1";"18/02/2021"
"Jabalquinto";"2017";"113";"1";"49.578582052553294";"0";"113";"105";"1";"18/02/2021"
"Lahiguera";"1686";"138";"0";"0";"0";"140";"125";"0";"18/02/2021"
"Linares";"57353";"3952";"160";"278.97407284710476";"60";"4029";"3076";"121";"18/02/2021"
"Marmolejo";"6763";"276";"16";"236.58139878752033";"5";"277";"212";"6";"18/02/2021"
"Montizón";"1689";"42";"10";"592.06631142687979";"5";"44";"22";"0";"18/02/2021"
"Navas de San Juan";"4528";"223";"6";"132.50883392226149";"1";"223";"166";"3";"18/02/2021"
"Santa Elena";"890";"28";"1";"112.35955056179775";"0";"28";"16";"1";"18/02/2021"
"Santisteban del Puerto";"4463";"246";"8";"179.25162446784674";"2";"247";"200";"5";"18/02/2021"
"Sorihuela del Guadalimar";"1098";"37";"5";"455.37340619307832";"1";"37";"21";"0";"18/02/2021"
"Torreblascopedro";"2508";"202";"11";"438.59649122807019";"1";"204";"116";"3";"18/02/2021"
"Vilches";"4409";"268";"31";"703.10728056248581";"18";"269";"214";"3";"18/02/2021"
"Villanueva de la Reina";"3038";"167";"2";"65.832784726793946";"0";"172";"153";"5";"18/02/2021"
"Arroyo del Ojanco";"2287";"234";"2";"87.450808919982506";"1";"236";"116";"1";"18/02/2021"
"Beas de Segura";"5100";"298";"7";"137.25490196078431";"1";"298";"223";"0";"18/02/2021"
"Bedmar y Garcíez";"2633";"120";"4";"151.9179642992784";"3";"121";"101";"2";"18/02/2021"
"Begíjar";"3009";"211";"12";"398.80358923230307";"3";"211";"143";"1";"18/02/2021"
"Benatae";"445";"28";"5";"1123.5955056179776";"0";"28";"22";"0";"18/02/2021"
"Canena";"1814";"95";"3";"165.38037486218303";"0";"95";"60";"2";"18/02/2021"
"Cazorla";"7352";"418";"41";"557.67138193688788";"18";"422";"300";"6";"18/02/2021"
"Chilluévar";"1410";"71";"7";"496.45390070921985";"1";"73";"42";"2";"18/02/2021"
"Génave";"590";"24";"0";"0";"0";"24";"20";"0";"18/02/2021"
"Hinojares";"373";"13";"0";"0";"0";"13";"11";"1";"18/02/2021"
"Hornos";"594";"35";"0";"0";"0";"35";"27";"0";"18/02/2021"
"Huesa";"2490";"194";"0";"0";"0";"195";"185";"3";"18/02/2021"
"Ibros";"2827";"167";"3";"106.11956137247967";"1";"168";"124";"2";"18/02/2021"
"Baeza";"15791";"1188";"38";"240.64340447090115";"8";"1200";"766";"19";"18/02/2021"
"Iruela (La)";"1879";"109";"1";"53.219797764768494";"1";"111";"90";"3";"18/02/2021"
"Iznatoraf";"942";"61";"0";"0";"0";"62";"58";"1";"18/02/2021"
"Jódar";"11634";"978";"27";"232.07839092315626";"7";"984";"772";"11";"18/02/2021"
"Larva";"474";"38";"1";"210.9704641350211";"0";"38";"35";"1";"18/02/2021"
"Lupión";"820";"37";"1";"121.95121951219512";"1";"37";"16";"1";"18/02/2021"
"Orcera";"1791";"221";"1";"55.83472920156337";"0";"222";"153";"4";"18/02/2021"
"Peal de Becerro";"5240";"178";"9";"171.75572519083968";"1";"179";"157";"9";"18/02/2021"
"Pozo Alcón";"4731";"312";"10";"211.37180300147961";"2";"314";"268";"2";"18/02/2021"
"Puente de Génave";"2159";"107";"1";"46.317739694302915";"0";"109";"84";"1";"18/02/2021"
"Puerta de Segura (La)";"2234";"140";"6";"268.57654431512981";"1";"141";"97";"5";"18/02/2021"
"Quesada";"5196";"315";"19";"365.66589684372593";"3";"316";"288";"8";"18/02/2021"
"Rus";"3531";"157";"5";"141.60294534126311";"1";"159";"99";"4";"18/02/2021"
"Sabiote";"3886";"204";"24";"617.60164693772515";"5";"207";"130";"3";"18/02/2021"
"Santiago-Pontones";"2911";"144";"3";"103.05736860185503";"1";"144";"118";"6";"18/02/2021"
"Santo Tomé";"2129";"130";"4";"187.88163457022077";"2";"143";"100";"8";"18/02/2021"
"Segura de la Sierra";"1803";"186";"2";"110.92623405435386";"1";"186";"125";"4";"18/02/2021"
"Siles";"2220";"107";"3";"135.13513513513513";"1";"107";"61";"2";"18/02/2021"
"Torreperogil";"7222";"530";"48";"664.63583494876764";"14";"537";"252";"12";"18/02/2021"
"Torres de Albánchez";"770";"25";"0";"0";"0";"25";"18";"0";"18/02/2021"
"Úbeda";"34329";"1841";"122";"355.38466019983105";"40";"1902";"1131";"24";"18/02/2021"
"Villacarrillo";"10673";"856";"20";"187.38873793684999";"1";"865";"609";"13";"18/02/2021"
"Villanueva del Arzobispo";"8078";"651";"39";"482.79277048774452";"13";"654";"428";"9";"18/02/2021"
"Villarrodrigo";"391";"22";"0";"0";"0";"22";"5";"0";"18/02/2021"
"Municipio de Jaén sin especificar";"0";"67";"4";NA;"2";"67";"35";"1";"18/02/2021"
"Alcaucín";"2279";"56";"2";"87.757788503729699";"2";"56";"29";"1";"18/02/2021"
"Alfarnate";"1065";"35";"1";"93.896713615023472";"1";"35";"17";"1";"18/02/2021"
"Alfarnatejo";"364";"17";"0";"0";"0";"17";"7";"1";"18/02/2021"
"Algarrobo";"6556";"254";"16";"244.05125076266015";"7";"259";"173";"4";"18/02/2021"
"Almáchar";"1817";"122";"2";"110.0715465052284";"1";"122";"94";"5";"18/02/2021"
"Árchez";"385";"15";"4";"1038.9610389610389";"3";"15";"9";"0";"18/02/2021"
"Arenas";"1177";"29";"5";"424.8088360237893";"2";"29";"15";"1";"18/02/2021"
"Benamargosa";"1535";"30";"1";"65.146579804560261";"0";"31";"17";"0";"18/02/2021"
"Benamocarra";"3046";"128";"3";"98.489822718319104";"1";"130";"62";"2";"18/02/2021"
"Borge (El)";"922";"73";"2";"216.91973969631238";"1";"73";"35";"1";"18/02/2021"
"Canillas de Aceituno";"1680";"40";"3";"178.57142857142858";"3";"40";"31";"0";"18/02/2021"
"Canillas de Albaida";"759";"19";"3";"395.25691699604744";"2";"19";"7";"0";"18/02/2021"
"Casabermeja";"3629";"151";"5";"137.77900248002206";"1";"154";"99";"1";"18/02/2021"
"Colmenar";"3409";"63";"11";"322.67527134056905";"4";"65";"23";"2";"18/02/2021"
"Comares";"1330";"20";"0";"0";"0";"20";"10";"0";"18/02/2021"
"Cómpeta";"3967";"72";"3";"75.623897151499875";"3";"72";"47";"1";"18/02/2021"
"Cútar";"616";"18";"1";"162.33766233766235";"1";"18";"6";"1";"18/02/2021"
"Frigiliana";"3062";"32";"1";"32.65839320705421";"0";"32";"27";"0";"18/02/2021"
"Iznate";"907";"10";"0";"0";"0";"10";"4";"0";"18/02/2021"
"Nerja";"21144";"456";"20";"94.589481649640561";"5";"463";"297";"9";"18/02/2021"
"Periana";"3089";"147";"11";"356.10229847847199";"7";"147";"104";"1";"18/02/2021"
"Riogordo";"2723";"72";"7";"257.0694087403599";"1";"73";"42";"2";"18/02/2021"
"Salares";"173";"9";"0";"0";"0";"9";"8";"1";"18/02/2021"
"Sayalonga";"1568";"55";"2";"127.55102040816327";"0";"56";"45";"3";"18/02/2021"
"Sedella";"576";"4";"0";"0";"0";"4";"3";"0";"18/02/2021"
"Torrox";"17943";"370";"11";"61.305244384996932";"4";"379";"250";"9";"18/02/2021"
"Vélez-Málaga";"82365";"4228";"177";"214.89710435257695";"83";"4295";"2456";"79";"18/02/2021"
"Viñuela";"2055";"42";"2";"97.323600973236012";"2";"42";"21";"0";"18/02/2021"
"Benahavís";"7748";"219";"23";"296.85080020650491";"12";"223";"127";"2";"18/02/2021"
"Benalmádena";"69144";"2702";"269";"389.04315631146591";"72";"2779";"1465";"47";"18/02/2021"
"Casares";"6883";"219";"29";"421.32790934185675";"13";"224";"69";"7";"18/02/2021"
"Estepona";"70228";"3430";"533";"758.9565415503788";"156";"3504";"1656";"34";"18/02/2021"
"Fuengirola";"82837";"3458";"334";"403.20146794306891";"133";"3503";"1913";"38";"18/02/2021"
"Istán";"1494";"38";"5";"334.67202141900935";"1";"38";"21";"0";"18/02/2021"
"Manilva";"16439";"825";"105";"638.72498327148855";"30";"828";"371";"15";"18/02/2021"
"Marbella";"147633";"9277";"982";"665.16293782555385";"354";"9529";"5173";"141";"18/02/2021"
"Mijas";"85397";"3656";"384";"449.6645081208942";"134";"3698";"1862";"28";"18/02/2021"
"Ojén";"3816";"143";"21";"550.31446540880506";"7";"147";"63";"1";"18/02/2021"
"Torremolinos";"69166";"2656";"212";"306.50897839979183";"87";"2713";"1603";"25";"18/02/2021"
"Alameda";"5387";"486";"20";"371.26415444588827";"8";"486";"293";"4";"18/02/2021"
"Almargen";"1947";"197";"6";"308.16640986132512";"0";"200";"96";"4";"18/02/2021"
"Antequera";"41318";"1665";"165";"399.34169127256888";"70";"1719";"1139";"24";"18/02/2021"
"Archidona";"8168";"370";"12";"146.91478942213516";"5";"381";"282";"15";"18/02/2021"
"Campillos";"8387";"372";"22";"262.31071896983428";"8";"378";"235";"3";"18/02/2021"
"Cañete la Real";"1633";"148";"21";"1285.9767299448868";"3";"150";"84";"9";"18/02/2021"
"Cuevas Bajas";"1370";"29";"1";"72.992700729927009";"0";"33";"26";"1";"18/02/2021"
"Cuevas de San Marcos";"3601";"296";"14";"388.78089419605664";"4";"298";"228";"17";"18/02/2021"
"Fuente de Piedra";"2662";"76";"0";"0";"0";"77";"52";"0";"18/02/2021"
"Humilladero";"3297";"128";"3";"90.99181073703366";"2";"132";"92";"1";"18/02/2021"
"Mollina";"5276";"176";"11";"208.49128127369218";"4";"177";"87";"1";"18/02/2021"
"Sierra de Yeguas";"3318";"179";"0";"0";"0";"181";"165";"4";"18/02/2021"
"Teba";"3744";"435";"18";"480.76923076923077";"2";"442";"323";"7";"18/02/2021"
"Valle de Abdalajís";"2502";"46";"4";"159.87210231814549";"1";"53";"35";"1";"18/02/2021"
"Villanueva de Algaidas";"4148";"71";"12";"289.2960462873674";"3";"74";"32";"1";"18/02/2021"
"Villanueva de la Concepción";"3288";"126";"1";"30.413625304136254";"0";"132";"83";"3";"18/02/2021"
"Villanueva de Tapia";"1460";"40";"4";"273.97260273972603";"1";"42";"16";"1";"18/02/2021"
"Villanueva del Rosario";"3362";"140";"8";"237.95359904818559";"3";"142";"81";"1";"18/02/2021"
"Villanueva del Trabuco";"5308";"371";"44";"828.93745290128106";"13";"376";"148";"5";"18/02/2021"
"Almogía";"3792";"50";"5";"131.85654008438817";"5";"55";"37";"2";"18/02/2021"
"Macharaviaya";"513";"5";"0";"0";"0";"5";"1";"0";"18/02/2021"
"Málaga (capital)";"578460";"28567";"2163";"373.92386681879475";"663";"29434";"17918";"474";"18/02/2021"
"Moclinejo";"1251";"81";"0";"0";"0";"81";"39";"2";"18/02/2021"
"Rincón de la Victoria";"48768";"1826";"92";"188.64829396325459";"34";"1885";"1203";"33";"18/02/2021"
"Totalán";"737";"16";"1";"135.68521031207598";"1";"16";"9";"0";"18/02/2021"
"Algatocín";"814";"52";"6";"737.10073710073709";"0";"53";"49";"2";"18/02/2021"
"Alpandeire";"263";"14";"0";"0";"0";"14";"13";"1";"18/02/2021"
"Arriate";"4082";"265";"16";"391.96472317491424";"4";"268";"247";"7";"18/02/2021"
"Atajate";"169";"0";"0";"0";"0";"0";"0";"0";"18/02/2021"
"Benadalid";"233";"1";"0";"0";"0";"1";"1";"0";"18/02/2021"
"Benalauría";"438";"8";"0";"0";"0";"9";"9";"0";"18/02/2021"
"Benaoján";"1453";"59";"26";"1789.4012388162423";"5";"59";"45";"0";"18/02/2021"
"Benarrabá";"446";"14";"1";"224.2152466367713";"1";"14";"11";"1";"18/02/2021"
"Burgo (El)";"1792";"29";"5";"279.01785714285717";"1";"29";"24";"0";"18/02/2021"
"Cartajima";"242";"14";"1";"413.22314049586777";"0";"14";"13";"0";"18/02/2021"
"Cortes de la Frontera";"3065";"158";"22";"717.78140293637841";"6";"159";"140";"3";"18/02/2021"
"Cuevas del Becerro";"1597";"284";"1";"62.61740763932373";"0";"286";"282";"2";"18/02/2021"
"Faraján";"261";"9";"1";"383.14176245210729";"0";"9";"7";"1";"18/02/2021"
"Gaucín";"1589";"72";"12";"755.19194461925736";"5";"72";"58";"3";"18/02/2021"
"Genalguacil";"393";"19";"1";"254.45292620865141";"0";"20";"19";"0";"18/02/2021"
"Igualeja";"752";"34";"2";"265.95744680851061";"0";"34";"32";"1";"18/02/2021"
"Jimera de Líbar";"379";"19";"1";"263.85224274406335";"0";"19";"18";"0";"18/02/2021"
"Jubrique";"523";"15";"2";"382.4091778202677";"0";"15";"11";"0";"18/02/2021"
"Júzcar";"214";"6";"0";"0";"0";"6";"6";"0";"18/02/2021"
"Montecorto";"586";"17";"0";"0";"0";"17";"17";"0";"18/02/2021"
"Montejaque";"949";"51";"5";"526.87038988408847";"0";"51";"46";"3";"18/02/2021"
"Parauta";"239";"8";"1";"418.41004184100416";"0";"8";"7";"0";"18/02/2021"
"Pujerra";"308";"1";"0";"0";"0";"1";"1";"0";"18/02/2021"
"Ronda";"33730";"2642";"252";"747.10939816187374";"77";"2714";"2393";"77";"18/02/2021"
"Serrato";"482";"29";"5";"1037.344398340249";"0";"29";"27";"0";"18/02/2021"
"Alhaurín de la Torre";"41170";"1992";"132";"320.62181199902841";"26";"2032";"1200";"21";"18/02/2021"
"Alhaurín el Grande";"25358";"1351";"47";"185.34584746431108";"13";"1372";"822";"14";"18/02/2021"
"Álora";"13112";"608";"31";"236.42464917632702";"2";"623";"340";"15";"18/02/2021"
"Alozaina";"2061";"57";"10";"485.20135856380398";"6";"60";"33";"2";"18/02/2021"
"Ardales";"2506";"158";"1";"39.904229848363926";"1";"158";"101";"1";"18/02/2021"
"Carratraca";"740";"15";"0";"0";"0";"15";"7";"0";"18/02/2021"
"Cártama";"26738";"1204";"99";"370.25955568853317";"32";"1216";"742";"10";"18/02/2021"
"Casarabonela";"2514";"53";"2";"79.554494828957843";"0";"54";"33";"2";"18/02/2021"
"Coín";"22673";"1526";"85";"374.8952498566577";"18";"1546";"937";"16";"18/02/2021"
"Guaro";"2280";"146";"6";"263.15789473684208";"1";"149";"100";"22";"18/02/2021"
"Monda";"2697";"201";"7";"259.54764553207269";"4";"202";"137";"1";"18/02/2021"
"Pizarra";"9444";"444";"39";"412.96060991105463";"12";"448";"226";"4";"18/02/2021"
"Tolox";"2136";"69";"1";"46.816479400749067";"0";"69";"38";"1";"18/02/2021"
"Yunquera";"2869";"116";"5";"174.27675148135239";"1";"116";"73";"4";"18/02/2021"
"Municipio de Málaga sin especificar";"0";"672";"19";NA;"5";"676";"499";"12";"18/02/2021"
"Albaida del Aljarafe";"3201";"100";"3";"93.720712277413313";"0";"102";"79";"3";"18/02/2021"
"Almensilla";"6175";"163";"9";"145.748987854251";"2";"167";"95";"4";"18/02/2021"
"Aznalcázar";"4588";"192";"9";"196.1639058413252";"3";"194";"143";"6";"18/02/2021"
"Aznalcóllar";"6083";"141";"1";"16.43925694558606";"0";"142";"93";"2";"18/02/2021"
"Benacazón";"7222";"366";"14";"193.8521185267239";"2";"369";"253";"5";"18/02/2021"
"Bollullos de la Mitación";"10931";"331";"27";"247.00393376635259";"5";"340";"225";"1";"18/02/2021"
"Bormujos";"22180";"1006";"87";"392.24526600541026";"33";"1021";"633";"16";"18/02/2021"
"Camas";"27560";"1250";"130";"471.69811320754718";"49";"1260";"776";"11";"18/02/2021"
"Carrión de los Céspedes";"2547";"99";"0";"0";"0";"100";"91";"0";"18/02/2021"
"Castilleja de Guzmán";"2833";"120";"4";"141.1930815390046";"1";"120";"95";"0";"18/02/2021"
"Castilleja de la Cuesta";"17516";"670";"39";"222.65357387531401";"9";"682";"444";"9";"18/02/2021"
"Castilleja del Campo";"640";"12";"1";"156.25";"0";"12";"9";"0";"18/02/2021"
"Chucena";"2223";"70";"4";"179.93702204228521";"3";"70";"52";"0";"18/02/2021"
"Coria del Río";"30908";"1647";"136";"440.01552995988095";"31";"1661";"1097";"13";"18/02/2021"
"Espartinas";"15824";"499";"30";"189.58543983822042";"12";"509";"315";"10";"18/02/2021"
"Gelves";"10193";"413";"16";"156.97046993034436";"6";"416";"283";"3";"18/02/2021"
"Gines";"13428";"484";"33";"245.75513851653261";"9";"490";"341";"4";"18/02/2021"
"Hinojos";"3961";"94";"2";"50.492299924261552";"0";"95";"82";"4";"18/02/2021"
"Huévar del Aljarafe";"3060";"114";"4";"130.718954248366";"1";"114";"94";"1";"18/02/2021"
"Isla Mayor";"5825";"202";"44";"755.36480686695279";"23";"206";"112";"1";"18/02/2021"
"Mairena del Aljarafe";"46555";"1911";"98";"210.50370529481259";"38";"1932";"1309";"32";"18/02/2021"
"Olivares";"9466";"417";"17";"179.59011197971688";"11";"419";"315";"4";"18/02/2021"
"Palomares del Río";"8843";"279";"5";"56.54189754608165";"0";"280";"193";"6";"18/02/2021"
"Pilas";"13952";"710";"44";"315.36697247706422";"18";"714";"539";"5";"18/02/2021"
"Puebla del Río (La)";"11920";"517";"42";"352.34899328859058";"13";"521";"325";"5";"18/02/2021"
"Salteras";"5564";"144";"11";"197.69949676491731";"5";"148";"106";"2";"18/02/2021"
"San Juan de Aznalfarache";"21774";"1089";"81";"372.0033066960595";"29";"1128";"787";"45";"18/02/2021"
"Sanlúcar la Mayor";"13943";"446";"27";"193.64555691027755";"10";"452";"329";"10";"18/02/2021"
"Santiponce";"8538";"593";"13";"152.26048254860623";"0";"595";"414";"19";"18/02/2021"
"Tomares";"25455";"829";"59";"231.78157532901199";"24";"840";"565";"8";"18/02/2021"
"Umbrete";"9000";"420";"10";"111.11111111111111";"5";"424";"352";"0";"18/02/2021"
"Valencina de la Concepción";"7776";"302";"33";"424.38271604938274";"10";"307";"208";"4";"18/02/2021"
"Villamanrique de la Condesa";"4477";"161";"25";"558.40964931874021";"7";"161";"75";"1";"18/02/2021"
"Villanueva del Ariscal";"6591";"221";"35";"531.02715824609311";"14";"222";"138";"3";"18/02/2021"
"Sevilla (capital)";"691395";"33216";"2202";"318.48653808604342";"697";"33600";"22224";"611";"18/02/2021"
"Aguadulce";"2035";"97";"1";"49.140049140049143";"1";"99";"95";"2";"18/02/2021"
"Algámitas";"1253";"180";"3";"239.42537909018355";"0";"180";"165";"6";"18/02/2021"
"Badolatosa";"3079";"241";"2";"64.956154595647931";"0";"243";"236";"1";"18/02/2021"
"Cañada Rosal";"3325";"72";"1";"30.075187969924812";"0";"72";"70";"2";"18/02/2021"
"Casariche";"5429";"588";"11";"202.61558298029104";"6";"589";"565";"7";"18/02/2021"
"Corrales (Los)";"3938";"176";"25";"634.84002031488069";"11";"178";"139";"2";"18/02/2021"
"Écija";"39893";"2101";"43";"107.788333792896";"18";"2118";"2014";"40";"18/02/2021"
"Estepa";"12497";"899";"45";"360.08642074097781";"29";"903";"825";"13";"18/02/2021"
"Fuentes de Andalucía";"7152";"226";"6";"83.892617449664428";"1";"226";"212";"6";"18/02/2021"
"Gilena";"3727";"325";"1";"26.831231553528308";"0";"328";"315";"4";"18/02/2021"
"Herrera";"6464";"364";"11";"170.17326732673268";"7";"370";"339";"9";"18/02/2021"
"Lantejuela";"3846";"289";"5";"130.00520020800832";"1";"290";"267";"6";"18/02/2021"
"Lora de Estepa";"873";"43";"0";"0";"0";"43";"42";"0";"18/02/2021"
"Luisiana (La)";"4578";"89";"2";"43.6871996505024";"1";"92";"84";"1";"18/02/2021"
"Marchena";"19329";"830";"46";"237.98437580837083";"16";"834";"746";"13";"18/02/2021"
"Marinaleda";"2592";"87";"4";"154.32098765432099";"0";"87";"82";"1";"18/02/2021"
"Martín de la Jara";"2665";"180";"3";"112.5703564727955";"0";"182";"175";"2";"18/02/2021"
"Osuna";"17621";"997";"23";"130.52607684013392";"10";"1004";"935";"8";"18/02/2021"
"Pedrera";"5158";"455";"12";"232.64831329972858";"6";"459";"437";"3";"18/02/2021"
"Puebla de Cazalla (La)";"10932";"541";"35";"320.16099524332236";"12";"546";"504";"8";"18/02/2021"
"Roda de Andalucía (La)";"4175";"239";"7";"167.66467065868264";"1";"241";"226";"4";"18/02/2021"
"Rubio (El)";"3369";"132";"6";"178.09439002671417";"4";"134";"121";"4";"18/02/2021"
"Saucejo (El)";"4235";"281";"21";"495.8677685950413";"7";"283";"257";"4";"18/02/2021"
"Villanueva de San Juan";"1090";"46";"9";"825.6880733944954";"4";"46";"35";"1";"18/02/2021"
"Alanís";"1706";"46";"8";"468.93317702227432";"6";"48";"24";"0";"18/02/2021"
"Alcalá del Río";"12186";"729";"138";"1132.4470704086657";"41";"731";"425";"4";"18/02/2021"
"Alcolea del Río";"3347";"141";"30";"896.32506722438006";"10";"141";"40";"4";"18/02/2021"
"Algaba (La)";"16503";"1393";"127";"769.55705023329097";"40";"1403";"676";"11";"18/02/2021"
"Almadén de la Plata";"1307";"25";"0";"0";"0";"25";"4";"0";"18/02/2021"
"Arroyomolinos de León";"947";"4";"0";"0";"0";"4";"1";"0";"18/02/2021"
"Brenes";"12501";"684";"72";"575.9539236861051";"29";"689";"470";"9";"18/02/2021"
"Burguillos";"6766";"409";"12";"177.35737511084835";"3";"412";"260";"5";"18/02/2021"
"Cala";"1159";"28";"1";"86.281276962899057";"1";"28";"25";"0";"18/02/2021"
"Campana (La)";"5238";"255";"55";"1050.0190912562045";"22";"256";"133";"3";"18/02/2021"
"Cantillana";"10736";"740";"59";"549.55290611028317";"23";"750";"462";"7";"18/02/2021"
"Carmona";"28834";"1518";"70";"242.7689533189984";"14";"1527";"1076";"41";"18/02/2021"
"Castilblanco de los Arroyos";"4899";"273";"9";"183.71096142069811";"2";"274";"194";"8";"18/02/2021"
"Castillo de las Guardas (El)";"1468";"72";"24";"1634.8773841961852";"17";"72";"46";"0";"18/02/2021"
"Cazalla de la Sierra";"4684";"118";"7";"149.44491887275834";"4";"120";"67";"3";"18/02/2021"
"Constantina";"5864";"224";"8";"136.4256480218281";"4";"225";"185";"2";"18/02/2021"
"Garrobo (El)";"782";"51";"2";"255.7544757033248";"0";"51";"35";"0";"18/02/2021"
"Gerena";"7674";"277";"7";"91.217096690122489";"1";"277";"209";"1";"18/02/2021"
"Guadalcanal";"2608";"100";"20";"766.87116564417181";"6";"100";"52";"2";"18/02/2021"
"Guillena";"12903";"479";"122";"945.51654653956439";"44";"483";"240";"9";"18/02/2021"
"Lora del Río";"18630";"742";"156";"837.35909822866347";"67";"750";"430";"8";"18/02/2021"
"Madroño (El)";"287";"1";"0";"0";"0";"1";"0";"0";"18/02/2021"
"Mairena del Alcor";"23698";"1092";"90";"379.77888429403328";"33";"1107";"711";"13";"18/02/2021"
"Navas de la Concepción (Las)";"1542";"20";"0";"0";"0";"23";"12";"1";"18/02/2021"
"Pedroso (El)";"2009";"42";"4";"199.10403185664509";"0";"43";"28";"3";"18/02/2021"
"Puebla de los Infantes (La)";"2980";"68";"1";"33.557046979865774";"0";"68";"22";"1";"18/02/2021"
"Real de la Jara (El)";"1494";"23";"0";"0";"0";"23";"19";"1";"18/02/2021"
"Rinconada (La)";"39062";"2534";"285";"729.6093389995392";"123";"2547";"1484";"34";"18/02/2021"
"Ronquillo (El)";"1377";"50";"13";"944.08133623819901";"9";"50";"10";"4";"18/02/2021"
"San Nicolás del Puerto";"596";"27";"4";"671.14093959731542";"2";"27";"10";"1";"18/02/2021"
"Santa Olalla del Cala";"2022";"36";"1";"49.455984174085067";"1";"36";"30";"0";"18/02/2021"
"Tocina";"9486";"275";"36";"379.5066413662239";"8";"278";"174";"3";"18/02/2021"
"Villanueva del Río y Minas";"4847";"116";"11";"226.94450175366205";"3";"117";"67";"4";"18/02/2021"
"Villaverde del Río";"7842";"543";"53";"675.84799795970412";"17";"545";"317";"5";"18/02/2021"
"Viso del Alcor (El)";"19324";"1337";"69";"357.06892982819289";"15";"1343";"818";"16";"18/02/2021"
"Zufre";"796";"10";"0";"0";"0";"10";"8";"0";"18/02/2021"
"Alcalá de Guadaíra";"75533";"3463";"319";"422.33196086478756";"116";"3485";"2093";"49";"18/02/2021"
"Arahal";"19533";"1418";"73";"373.72651410433627";"15";"1433";"907";"29";"18/02/2021"
"Cabezas de San Juan (Las)";"16358";"1098";"43";"262.86832131067365";"18";"1102";"690";"11";"18/02/2021"
"Coripe";"1238";"52";"10";"807.75444264943462";"0";"52";"9";"0";"18/02/2021"
"Coronil (El)";"4717";"197";"27";"572.39771040915832";"9";"197";"108";"2";"18/02/2021"
"Cuervo de Sevilla (El)";"8656";"385";"15";"173.29020332717189";"0";"385";"209";"5";"18/02/2021"
"Dos Hermanas";"135050";"7002";"508";"376.15697889670491";"123";"7064";"3772";"101";"18/02/2021"
"Lebrija";"27578";"1151";"74";"268.32982812386683";"29";"1171";"764";"23";"18/02/2021"
"Molares (Los)";"3518";"245";"35";"994.88345650938038";"6";"245";"127";"3";"18/02/2021"
"Montellano";"7053";"370";"16";"226.85382106904862";"9";"370";"267";"8";"18/02/2021"
"Morón de la Frontera";"27633";"1217";"91";"329.31639706148445";"25";"1222";"699";"20";"18/02/2021"
"Palacios y Villafranca (Los)";"38548";"2661";"104";"269.79350420255264";"19";"2668";"1601";"39";"18/02/2021"
"Palmar de Troya (El)";"2343";"216";"3";"128.04097311139566";"1";"217";"98";"7";"18/02/2021"
"Paradas";"6857";"401";"82";"1195.8582470468134";"26";"404";"257";"5";"18/02/2021"
"Pruna";"2605";"206";"3";"115.16314779270634";"0";"206";"141";"2";"18/02/2021"
