"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Fonelas";"978";"52";"8";"817.99591002044986";"2";"52";"32";"1";"18/02/2021"
"Freila";"939";"63";"3";"319.4888178913738";"0";"63";"58";"1";"18/02/2021"
"Galera";"1071";"64";"17";"1587.3015873015872";"0";"65";"37";"1";"18/02/2021"
"Gor";"744";"20";"0";"0";"0";"21";"18";"0";"18/02/2021"
"Gorafe";"383";"17";"0";"0";"0";"17";"6";"1";"18/02/2021"
"Guadix";"18436";"1463";"134";"726.83879366456927";"58";"1508";"987";"26";"18/02/2021"
"Huélago";"401";"69";"1";"249.37655860349128";"1";"69";"52";"0";"18/02/2021"
"Huéneja";"1170";"44";"0";"0";"0";"44";"34";"3";"18/02/2021"
"Huéscar";"7195";"609";"81";"1125.7817929117443";"18";"617";"353";"19";"18/02/2021"
"Jérez del Marquesado";"955";"56";"0";"0";"0";"56";"52";"0";"18/02/2021"
"Lanteira";"564";"40";"1";"177.3049645390071";"0";"41";"34";"0";"18/02/2021"
"Lugros";"310";"13";"1";"322.58064516129031";"1";"13";"8";"0";"18/02/2021"
"Marchal";"414";"12";"1";"241.54589371980677";"0";"12";"8";"1";"18/02/2021"
"Morelábor";"572";"59";"0";"0";"0";"59";"46";"0";"18/02/2021"
"Orce";"1185";"32";"14";"1181.4345991561181";"7";"32";"13";"0";"18/02/2021"
"Pedro Martínez";"1138";"148";"6";"527.24077328646752";"1";"148";"78";"4";"18/02/2021"
"Peza (La)";"1167";"46";"2";"171.37960582690661";"0";"46";"17";"2";"18/02/2021"
"Polícar";"263";"2";"0";"0";"0";"2";"2";"0";"18/02/2021"
"Puebla de Don Fadrique";"2238";"244";"8";"357.4620196604111";"0";"245";"190";"3";"18/02/2021"
"Purullena";"2306";"177";"13";"563.74674761491758";"3";"179";"119";"2";"18/02/2021"
"Valle del Zalabí";"2105";"120";"4";"190.02375296912115";"1";"122";"91";"0";"18/02/2021"
"Villanueva de las Torres";"562";"17";"0";"0";"0";"17";"11";"0";"18/02/2021"
"Zújar";"2544";"178";"25";"982.70440251572325";"12";"180";"112";"2";"18/02/2021"
"Beas de Granada";"980";"63";"2";"204.08163265306123";"0";"63";"30";"2";"18/02/2021"
"Granada (capital)";"233648";"20409";"793";"339.39943847154694";"259";"20777";"15527";"455";"18/02/2021"
"Huétor de Santillán";"1882";"152";"3";"159.4048884165781";"1";"154";"81";"1";"18/02/2021"
"Jun";"3853";"317";"16";"415.26083571243186";"7";"320";"243";"3";"18/02/2021"
"Agrón";"260";"13";"0";"0";"0";"14";"13";"0";"18/02/2021"
"Albolote";"18962";"1490";"85";"448.26495095454067";"34";"1512";"1078";"19";"18/02/2021"
"Albuñuelas";"802";"44";"1";"124.68827930174564";"0";"44";"40";"0";"18/02/2021"
"Alfacar";"5488";"509";"25";"455.53935860058311";"7";"512";"335";"9";"18/02/2021"
"Algarinejo";"2467";"353";"3";"121.60518848804216";"0";"354";"210";"12";"18/02/2021"
"Alhama de Granada";"5867";"206";"16";"272.71177773990115";"12";"207";"163";"3";"18/02/2021"
"Alhendín";"9509";"664";"30";"315.49058786412871";"9";"667";"480";"12";"18/02/2021"
"Arenas del Rey";"653";"27";"1";"153.13935681470139";"1";"27";"24";"1";"18/02/2021"
"Armilla";"24340";"1743";"62";"254.72473294987674";"9";"1785";"1371";"31";"18/02/2021"
"Atarfe";"18960";"1448";"91";"479.957805907173";"35";"1458";"1100";"45";"18/02/2021"
"Benalúa de las Villas";"1054";"87";"7";"664.13662239089183";"5";"88";"69";"1";"18/02/2021"
"Cacín";"568";"12";"0";"0";"0";"12";"12";"0";"18/02/2021"
"Cájar";"5205";"383";"13";"249.75984630163305";"3";"389";"298";"15";"18/02/2021"
"Calicasas";"638";"43";"3";"470.2194357366771";"0";"43";"21";"0";"18/02/2021"
