n_personas_1_dosis;%personas_1_dosis;n_personas_pauta_completa;%personas_pauta_completa;cod_cuando;cod_donde_provincia;cod_quien_vacunas
3;0,26592529916596158;0;0,18735646077601836;58;3;7
0;0,24610336341263331;0;0,18970467596390483;58;8;7
0;0,28011204481792717;0;0,14457395861570435;58;4;7
0;0,163471541090801;1;0,12631891811561896;58;5;7
1;0,33044313271387016;3;0,24006552376648685;58;6;7
2;0,22315720960505822;0;0,14644691880331948;58;7;7
0;0,00076638336028448154;0;0;58;1;8
0;0,002395473513249364;0;0,00095818940529974561;58;2;8
0;0,0082734884336631703;0;0,0024820465300989508;58;3;8
0;0,003428649797709662;0;0,0020571898786257972;58;8;8
0;0,0093665847090504632;0;0,0011708230886313079;58;4;8
0;0,0032105477194409367;0;0,0010701825731469789;58;5;8
0;0,0046723261714959347;0;0,0028752776439974984;58;6;8
1;0,0050117333522010357;0;0,0035376941309654369;58;7;8
7;103,89000903844817;39;100,59445178335535;59;1;1
59;106,45965042766828;52;103,94570472294534;59;2;1
15;104,04213324740192;21;101,99790542173528;59;3;1
52;103,33937354387781;89;100,94187458929888;59;8;1
13;105,87330499898806;20;103,43250354179315;59;4;1
10;101,31945427937497;13;99,294245385450594;59;5;1
66;100,1167093274625;154;97,189692444397295;59;6;1
31;105,98124724970945;127;103,00472767892403;59;7;1
104;98,931268802726521;1165;83,321061157511622;59;1;2
540;99,958574539274522;1556;80,263423442562001;59;2;2
217;98,71643277219404;473;86,403522419640908;59;3;2
332;98,821459491160951;1290;83,676376127572823;59;8;2
102;100,77086925651689;960;87,734557257328333;59;4;2
56;96,234646752481083;729;86,803576692542009;59;5;2
487;92,118699799753202;3728;75,642304537695907;59;6;2
441;99,423760371294023;6061;81,732252431010934;59;7;2
477;84,703045335538107;278;11,116163704009921;59;1;3
2045;83,455239821347661;229;6,5771966542242932;59;2;3
415;92,997646740905054;1013;10,330694830711721;59;3;3
951;87,198224212780161;699;10,881607637456538;59;8;3
269;88,077042333157024;243;8,5560034289674789;59;4;3
889;92,427037906742697;490;9,9239628759923963;59;5;3
1672;75,362295382689666;891;6,454954517497006;59;6;3
1779;88,095968188652364;1145;9,1576323494500276;59;7;3
4093;41,005973525967967;244;7,8916033261227652;59;1;4
8456;35,426455553377792;401;7,8166302038913642;59;2;4
5825;36,166210105944089;205;8,7824680682530776;59;3;4
6198;36,439771789443469;450;9,0179051993254156;59;8;4
2701;35,089082245701263;109;7,41273047441475;59;4;4
2128;32,155833266789109;166;8,1320370518246428;59;5;4
7297;33,427810804859988;383;6,5085370003402794;59;6;4
8224;32,966418040137079;417;7,5310899017774595;59;7;4
110;10,966759283378195;108;4,8015976382738561;59;1;5
845;12,613785314834384;423;6,0968972383107838;59;2;5
154;13,998808059352532;58;6,3875793672017664;59;3;5
249;13,479039189635923;147;6,3596614334811603;59;8;5
669;11,953226056811713;86;4,7094737931391322;59;4;5
69;13,570360065934276;78;5,8597657999294919;59;5;5
356;10,857533254313184;191;4,9055050704596335;59;6;5
626;11,960525958131077;254;5,6138061863457471;59;7;5
6;4,9324480677833353;5;2,182310115879599;59;1;6
105;5,6772064888644485;34;2,6120428924938137;59;2;6
42;6,6947758124228711;10;2,6292335115864529;59;3;6
32;5,9675765000854746;7;2,8149752122628069;59;8;6
65;5,776003756750411;16;2,2775299366048367;59;4;6
0;5,2322767965158476;3;2,2965561738849907;59;5;6
126;4,8989610302276319;20;2,5200901112941732;59;6;6
