"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Churriana de la Vega";"15689";"1";"51";"325,06851934476384";"8";"1";"6";"0";"17/02/2021"
"Cijuela";"3415";"0";"11";"322,10834553440702";"0";"0";"2";"0";"17/02/2021"
"Cogollos de la Vega";"2007";"1";"4";"199,30244145490784";"2";"1";"1";"0";"17/02/2021"
"Colomera";"1302";"0";"2";"153,60983102918587";"1";"0";"1";"0";"17/02/2021"
"Cúllar Vega";"7547";"0";"26";"344,50775142440705";"7";"0";"2";"0";"17/02/2021"
"Dehesas Viejas";"688";"0";"3";"436,04651162790697";"0";"0";"0";"0";"17/02/2021"
"Deifontes";"2600";"1";"9";"346,15384615384613";"4";"1";"0";"0";"17/02/2021"
"Dílar";"2092";"0";"0";"0";"0";"0";"1";"0";"17/02/2021"
"Domingo Pérez de Granada";"878";"0";"8";"911,16173120728934";"2";"0";"0";"0";"17/02/2021"
"Dúdar";"327";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Dúrcal";"7111";"0";"5";"70,3135986499789";"1";"0";"6";"0";"17/02/2021"
"Escúzar";"791";"0";"6";"758,53350189633375";"0";"0";"0";"0";"17/02/2021"
"Fornes";"556";"0";"1";"179,85611510791367";"1";"0";"0";"0";"17/02/2021"
"Fuente Vaqueros";"4384";"3";"30";"684,30656934306569";"13";"3";"4";"0";"17/02/2021"
"Gabias (Las)";"21543";"4";"60";"278,51274195794457";"26";"4";"1";"0";"17/02/2021"
"Gobernador";"229";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Gójar";"5909";"0";"11";"186,15671010323237";"2";"0";"1";"0";"17/02/2021"
"Guadahortuna";"1872";"0";"2";"106,83760683760684";"1";"0";"6";"0";"17/02/2021"
"Güéjar Sierra";"2857";"0";"4";"140,00700035001751";"1";"0";"0";"0";"17/02/2021"
"Güevéjar";"2640";"1";"9";"340,90909090909093";"4";"1";"0";"0";"17/02/2021"
"Huétor Tájar";"10399";"3";"34";"326,95451485719781";"8";"3";"3";"0";"17/02/2021"
"Huétor Vega";"12035";"1";"26";"216,03656003323638";"4";"1";"7";"0";"17/02/2021"
"Íllora";"10065";"0";"13";"129,1604570293095";"2";"0";"8";"0";"17/02/2021"
"Iznalloz";"5120";"1";"19";"371,09375";"6";"1";"7";"0";"17/02/2021"
"Játar";"623";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Jayena";"1052";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Láchar";"3513";"2";"18";"512,38257899231428";"5";"2";"3";"0";"17/02/2021"
"Lecrín";"2156";"1";"6";"278,29313543599255";"2";"1";"0";"0";"17/02/2021"
"Loja";"20419";"12";"125";"612,1749351094569";"51";"12";"4";"0";"17/02/2021"
"Malahá (La)";"1784";"0";"10";"560,5381165919282";"1";"0";"1";"0";"17/02/2021"
"Maracena";"22306";"5";"78";"349,68169999103378";"36";"5";"15";"2";"17/02/2021"
"Moclín";"3622";"1";"8";"220,87244616234125";"2";"1";"7";"1";"17/02/2021"
"Monachil";"8007";"2";"13";"162,35793680529537";"6";"2";"2";"0";"17/02/2021"
"Montefrío";"5313";"1";"13";"244,68285337850554";"3";"1";"0";"1";"17/02/2021"
"Montejícar";"2110";"0";"4";"189,57345971563981";"2";"0";"0";"0";"17/02/2021"
"Montillana";"1129";"0";"4";"354,29583702391494";"4";"0";"4";"0";"17/02/2021"
"Moraleda de Zafayona";"3117";"0";"2";"64,164260506897662";"1";"0";"1";"0";"17/02/2021"
"Nigüelas";"1185";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Nívar";"1036";"0";"0";"0";"0";"0";"1";"0";"17/02/2021"
"Ogíjares";"14348";"2";"46";"320,60217451909676";"21";"2";"10";"0";"17/02/2021"
"Villa de Otura";"6982";"1";"25";"358,06359209395589";"10";"1";"1";"0";"17/02/2021"
"Padul";"8694";"0";"16";"184,0349666436623";"4";"0";"7";"0";"17/02/2021"
"Peligros";"11492";"4";"38";"330,66481030281938";"14";"4";"2";"0";"17/02/2021"
"Pinar (El)";"865";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Pinos Genil";"1490";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Pinos Puente";"9894";"4";"45";"454,82110369921162";"14";"4";"17";"2";"17/02/2021"
"Píñar";"1103";"0";"2";"181,32366273798732";"0";"0";"0";"0";"17/02/2021"
"Pulianas";"5466";"3";"31";"567,14233443102819";"13";"3";"3";"0";"17/02/2021"
"Quéntar";"947";"1";"4";"422,38648363252378";"1";"1";"0";"0";"17/02/2021"
"Salar";"2621";"0";"6";"228,92025944296071";"1";"0";"0";"0";"17/02/2021"
"Santa Cruz del Comercio";"531";"0";"0";"0";"0";"0";"2";"0";"17/02/2021"
"Santa Fe";"15222";"1";"41";"269,34699776639076";"10";"1";"5";"0";"17/02/2021"
"Torre-Cardela";"716";"0";"1";"139,66480446927375";"1";"0";"0";"0";"17/02/2021"
"Valderrubio";"2066";"0";"1";"48,402710551790904";"1";"0";"1";"0";"17/02/2021"
"Valle (El)";"907";"0";"0";"0";"0";"0";"1";"0";"17/02/2021"
"Vegas del Genil";"11432";"8";"55";"481,10566829951017";"27";"8";"5";"0";"17/02/2021"
"Ventas de Huelma";"657";"1";"1";"152,20700152207002";"1";"1";"0";"0";"17/02/2021"
"Villamena";"934";"0";"0";"0";"0";"0";"1";"0";"17/02/2021"
"Villanueva Mesía";"2021";"0";"6";"296,88273132112818";"1";"0";"0";"0";"17/02/2021"
"Víznar";"993";"0";"6";"604,22960725075529";"3";"0";"0";"0";"17/02/2021"
"Zafarraya";"2120";"0";"5";"235,84905660377359";"0";"0";"0";"0";"17/02/2021"
"Zagra";"885";"0";"1";"112,99435028248588";"0";"0";"0";"0";"17/02/2021"
"Zubia (La)";"19330";"3";"64";"331,09156751163994";"26";"3";"3";"1";"17/02/2021"
"Municipio de Granada sin especificar";"0";"-1";"8";NA;"2";"-1";"0";"-1";"17/02/2021"
"Alájar";"759";"0";"7";"922,266139657444";"1";"0";"0";"0";"17/02/2021"
"Almonaster la Real";"1788";"-1";"6";"335,57046979865771";"1";"-1";"0";"0";"17/02/2021"
"Aracena";"8255";"1";"15";"181,70805572380377";"4";"1";"0";"0";"17/02/2021"
"Aroche";"3054";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Berrocal";"303";"0";"3";"990,09900990099015";"0";"0";"0";"0";"17/02/2021"
"Calañas";"2768";"0";"5";"180,635838150289";"0";"0";"0";"0";"17/02/2021"
"Campillo (El)";"2024";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Campofrío";"713";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Cañaveral de León";"396";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Castaño del Robledo";"228";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Cerro de Andévalo (El)";"2327";"0";"4";"171,89514396218306";"0";"0";"0";"0";"17/02/2021"
"Corteconcepción";"536";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Cortegana";"4602";"-1";"4";"86,918730986527592";"0";"-1";"0";"0";"17/02/2021"
"Cortelazor";"299";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Cumbres de Enmedio";"51";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Cumbres de San Bartolomé";"376";"0";"2";"531,91489361702122";"2";"0";"0";"0";"17/02/2021"
"Cumbres Mayores";"1749";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Encinasola";"1310";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Fuenteheridos";"709";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Galaroza";"1382";"0";"2";"144,71780028943559";"0";"0";"0";"0";"17/02/2021"
"Granada de Río-Tinto (La)";"243";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Higuera de la Sierra";"1291";"0";"2";"154,91866769945779";"1";"0";"0";"0";"17/02/2021"
"Hinojales";"330";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Jabugo";"2260";"0";"1";"44,247787610619469";"0";"0";"0";"0";"17/02/2021"
"Linares de la Sierra";"262";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Marines (Los)";"399";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Minas de Riotinto";"3812";"0";"3";"78,698845750262336";"2";"0";"0";"0";"17/02/2021"
"Nava (La)";"258";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Nerva";"5169";"0";"6";"116,07661056297157";"5";"0";"0";"0";"17/02/2021"
"Puerto Moral";"278";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Rosal de la Frontera";"1697";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Santa Ana la Real";"475";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Valdelarco";"231";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Valverde del Camino";"12750";"0";"23";"180,39215686274511";"9";"0";"0";"0";"17/02/2021"
"Zalamea la Real";"3054";"0";"5";"163,71971185330713";"2";"0";"0";"0";"17/02/2021"
"Zarza-Perrunal (La)";"1253";"0";"2";"159,6169193934557";"0";"0";"0";"0";"17/02/2021"
"Almonte";"24507";"15";"97";"395,80528012404619";"41";"15";"0";"0";"17/02/2021"
"Beas";"4341";"-1";"22";"506,79566920064502";"2";"-1";"0";"0";"17/02/2021"
"Bollullos Par del Condado";"14387";"7";"71";"493,50107736150693";"23";"6";"-1";"0";"17/02/2021"
"Bonares";"6060";"1";"19";"313,53135313531351";"2";"1";"1";"0";"17/02/2021"
"Escacena del Campo";"2287";"3";"7";"306,07783121993879";"4";"3";"0";"1";"17/02/2021"
"Gibraleón";"12737";"-1";"27";"211,98084321268743";"10";"-1";"0";"0";"17/02/2021"
"Lucena del Puerto";"3261";"-1";"4";"122,66176019625881";"0";"-1";"0";"0";"17/02/2021"
"Manzanilla";"2118";"2";"6";"283,28611898016999";"3";"2";"0";"0";"17/02/2021"
"Moguer";"21867";"2";"70";"320,11707138610694";"23";"2";"1";"0";"17/02/2021"
"Niebla";"4116";"0";"5";"121,47716229348882";"1";"0";"0";"0";"17/02/2021"
"Palma del Condado (La)";"10801";"4";"50";"462,92009999074162";"7";"4";"1";"0";"17/02/2021"
"Palos de la Frontera";"11742";"1";"46";"391,75608925225686";"13";"1";"0";"0";"17/02/2021"
"Paterna del Campo";"3457";"0";"4";"115,70726063060457";"0";"0";"0";"0";"17/02/2021"
"Rociana del Condado";"7939";"1";"33";"415,66947978334804";"12";"1";"0";"0";"17/02/2021"
"San Bartolomé de la Torre";"3761";"0";"5";"132,9433661260303";"1";"0";"0";"0";"17/02/2021"
"San Juan del Puerto";"9411";"0";"19";"201,89140367654872";"3";"0";"0";"0";"17/02/2021"
"Trigueros";"7862";"0";"15";"190,79114729076571";"0";"0";"0";"0";"17/02/2021"
"Villalba del Alcor";"3366";"0";"20";"594,17706476530009";"2";"0";"0";"0";"17/02/2021"
"Villarrasa";"2211";"0";"3";"135,68521031207598";"0";"0";"0";"0";"17/02/2021"
"Aljaraque";"21474";"4";"52";"242,15330166713235";"12";"4";"1";"0";"17/02/2021"
"Almendro (El)";"840";"0";"1";"119,04761904761905";"0";"0";"0";"0";"17/02/2021"
"Alosno";"3933";"0";"3";"76,277650648360037";"0";"0";"1";"0";"17/02/2021"
"Ayamonte";"21104";"6";"118";"559,13570887035632";"26";"6";"1";"0";"17/02/2021"
"Cabezas Rubias";"706";"0";"1";"141,64305949008499";"0";"0";"0";"0";"17/02/2021"
