fecha;mes;anio;semana;nombre_mes;es_dia_natural;es_dia_habil;cod_cuando
30/05/2021;5;2021;22;Mayo;TRUE;FALSE;104
29/05/2021;5;2021;22;Mayo;TRUE;FALSE;105
23/05/2021;5;2021;21;Mayo;TRUE;FALSE;106
22/05/2021;5;2021;21;Mayo;TRUE;FALSE;107
16/05/2021;5;2021;20;Mayo;TRUE;FALSE;108
15/05/2021;5;2021;20;Mayo;TRUE;FALSE;109
09/05/2021;5;2021;19;Mayo;TRUE;FALSE;110
08/05/2021;5;2021;19;Mayo;TRUE;FALSE;111
02/05/2021;5;2021;18;Mayo;TRUE;FALSE;112
01/05/2021;5;2021;18;Mayo;TRUE;FALSE;113
25/04/2021;4;2021;17;Abril;TRUE;FALSE;114
24/04/2021;4;2021;17;Abril;TRUE;FALSE;115
18/04/2021;4;2021;16;Abril;TRUE;FALSE;116
17/04/2021;4;2021;16;Abril;TRUE;FALSE;117
14/04/2021;4;2021;15;Abril;TRUE;FALSE;118
13/04/2021;4;2021;15;Abril;TRUE;FALSE;119
11/04/2021;4;2021;15;Abril;TRUE;FALSE;120
10/04/2021;4;2021;15;Abril;TRUE;FALSE;121
04/04/2021;4;2021;14;Abril;TRUE;FALSE;122
03/04/2021;4;2021;14;Abril;TRUE;FALSE;123
02/04/2021;4;2021;14;Abril;TRUE;FALSE;124
01/04/2021;4;2021;13;Abril;TRUE;FALSE;125
28/03/2021;3;2021;13;Marzo;TRUE;FALSE;126
27/03/2021;3;2021;13;Marzo;TRUE;FALSE;127
21/03/2021;3;2021;12;Marzo;TRUE;FALSE;128
20/03/2021;3;2021;12;Marzo;TRUE;FALSE;129
14/03/2021;3;2021;11;Marzo;TRUE;FALSE;130
13/03/2021;3;2021;11;Marzo;TRUE;FALSE;131
11/03/2021;3;2021;10;Marzo;TRUE;FALSE;132
07/03/2021;3;2021;10;Marzo;TRUE;FALSE;133
06/03/2021;3;2021;10;Marzo;TRUE;FALSE;134
05/03/2021;3;2021;10;Marzo;TRUE;FALSE;135
01/03/2021;3;2021;9;Marzo;TRUE;FALSE;136
28/02/2021;2;2021;9;Febrero;TRUE;FALSE;137
27/02/2021;2;2021;9;Febrero;TRUE;FALSE;138
21/02/2021;2;2021;8;Febrero;TRUE;FALSE;139
20/02/2021;2;2021;8;Febrero;TRUE;FALSE;140
16/02/2021;2;2021;7;Febrero;TRUE;FALSE;141
15/02/2021;2;2021;7;Febrero;TRUE;FALSE;142
14/02/2021;2;2021;7;Febrero;TRUE;FALSE;143
13/02/2021;2;2021;7;Febrero;TRUE;FALSE;144
12/02/2021;2;2021;7;Febrero;TRUE;FALSE;145
11/02/2021;2;2021;6;Febrero;TRUE;FALSE;146
10/02/2021;2;2021;6;Febrero;TRUE;FALSE;147
09/02/2021;2;2021;6;Febrero;TRUE;FALSE;148
08/02/2021;2;2021;6;Febrero;TRUE;FALSE;149
07/02/2021;2;2021;6;Febrero;TRUE;FALSE;150
06/02/2021;2;2021;6;Febrero;TRUE;FALSE;151
05/02/2021;2;2021;6;Febrero;TRUE;FALSE;152
04/02/2021;2;2021;5;Febrero;TRUE;FALSE;153
03/02/2021;2;2021;5;Febrero;TRUE;FALSE;154
02/02/2021;2;2021;5;Febrero;TRUE;FALSE;155
01/02/2021;2;2021;5;Febrero;TRUE;FALSE;156
31/01/2021;1;2021;5;Enero;TRUE;FALSE;157
30/01/2021;1;2021;5;Enero;TRUE;FALSE;158
29/01/2021;1;2021;5;Enero;TRUE;FALSE;159
28/01/2021;1;2021;4;Enero;TRUE;FALSE;160
27/01/2021;1;2021;4;Enero;TRUE;FALSE;161
26/01/2021;1;2021;4;Enero;TRUE;FALSE;162
25/01/2021;1;2021;4;Enero;TRUE;FALSE;163
24/01/2021;1;2021;4;Enero;TRUE;FALSE;164
23/01/2021;1;2021;4;Enero;TRUE;FALSE;165
22/01/2021;1;2021;4;Enero;TRUE;FALSE;166
21/01/2021;1;2021;3;Enero;TRUE;FALSE;167
20/01/2021;1;2021;3;Enero;TRUE;FALSE;168
19/01/2021;1;2021;3;Enero;TRUE;FALSE;169
