"Territorio";"Confirmados PDIA";"Confirmados PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Vive en residencia";"Fecha"
"Condado-Campiña";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Huelva-Costa";"2";"0";"0";"2";"1";"1";"Otro tipo de institución";"16/03/2021"
"Jaén Sur";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Jaén (distrito)";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Jaén Norte";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Jaén Nordeste";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"La Vega";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Axarquia";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Valle del Guadalhorce";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Costa del Sol";"0";"1";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Málaga (distrito)";"1";"0";"0";"1";"1";"0";"Otro tipo de institución";"16/03/2021"
"Serranía";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Sevilla Sur";"1";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Aljarafe";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Sevilla Este";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Sevilla Norte";"0";"0";"0";"0";"0";"0";"Otro tipo de institución";"16/03/2021"
"Sevilla (distrito)";"22";"0";"0";"22";"18";"2";"Otro tipo de institución";"16/03/2021"
"Almería (distrito)";"0";"0";"0";"0";"1";"0";"Residencias de mayores";"17/03/2021"
"Levante-Alto Almanzora";"0";"1";"1";"0";"0";"0";"Residencias de mayores";"17/03/2021"
"Poniente de Almería";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"17/03/2021"
"Campo de Gibraltar Este";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"17/03/2021"
