confirmados_pdia;total_confirmados;hospitalizados;uci;fallecidos;cod_cuando;cod_donde_provincia
133;134;5;0;0;76;5
80;80;1;0;0;76;6
214;214;7;0;0;76;7
318;318;16;1;1;76;8
55;55;4;0;0;75;1
179;180;6;0;0;75;2
133;133;7;0;0;75;3
138;138;9;0;0;75;4
115;115;4;0;0;75;5
101;101;8;0;1;75;6
281;281;11;1;1;75;7
438;438;17;2;0;75;8
42;42;6;1;2;74;1
179;179;8;0;1;74;2
154;154;8;2;0;74;3
180;180;7;1;0;74;4
133;133;6;1;0;74;5
118;118;5;0;0;74;6
277;277;8;0;0;74;7
501;501;20;4;2;74;8
36;36;0;0;0;73;1
154;154;9;0;0;73;2
171;172;11;2;0;73;3
167;167;5;0;0;73;4
110;110;7;0;0;73;5
116;116;4;1;0;73;6
249;249;12;1;0;73;7
347;347;23;1;0;73;8
46;46;2;0;0;72;1
124;124;10;0;0;72;2
118;118;7;2;0;72;3
200;200;13;1;1;72;4
110;110;5;0;0;72;5
113;113;6;0;1;72;6
252;252;11;0;1;72;7
347;347;20;2;1;72;8
16;16;4;2;0;102;1
79;79;8;0;0;102;2
84;84;12;1;0;102;3
59;59;6;0;0;102;4
37;37;4;1;0;102;5
46;46;5;0;1;102;6
100;100;7;1;0;102;7
156;156;11;0;0;102;8
31;31;3;0;0;103;1
104;104;8;0;0;103;2
101;101;8;1;0;103;3
69;69;6;1;1;103;4
54;54;5;1;0;103;5
116;116;10;3;0;103;6
126;126;5;1;1;103;7
246;247;11;1;0;103;8
49;49;5;1;0;71;1
170;170;7;1;1;71;2
175;175;6;0;0;71;3
228;228;17;4;1;71;4
162;162;6;0;1;71;5
132;132;9;1;1;71;6
279;280;7;0;0;71;7
407;407;22;1;1;71;8
22;22;0;0;0;70;1
177;177;8;1;0;70;2
136;136;7;0;0;70;3
83;83;4;0;0;70;4
160;160;7;1;1;70;5
156;156;8;1;1;70;6
269;269;11;0;1;70;7
321;321;17;1;0;70;8
55;55;3;1;1;69;1
178;178;6;0;0;69;2
148;148;6;1;1;69;3
218;218;6;1;0;69;4
136;136;5;1;1;69;5
166;166;9;1;1;69;6
312;312;16;2;1;69;7
434;434;27;5;3;69;8
38;38;1;0;0;68;1
145;145;5;0;0;68;2
109;109;4;2;0;68;3
217;217;9;2;1;68;4
149;149;13;2;1;68;5
153;153;6;1;1;68;6
320;320;12;0;0;68;7
422;422;19;0;0;68;8
24;24;2;0;0;67;1
135;135;3;0;0;67;2
109;109;6;0;0;67;3
183;183;10;2;0;67;4
137;137;12;2;0;67;5
120;120;6;1;2;67;6
242;243;12;1;0;67;7
361;362;26;4;2;67;8
12;12;0;0;0;104;1
43;43;4;0;0;104;2
90;90;7;1;0;104;3
59;59;7;0;0;104;4
41;41;4;1;0;104;5
22;22;1;0;0;104;6
115;115;7;1;3;104;7
163;163;21;3;0;104;8
28;28;3;0;0;105;1
114;114;7;1;0;105;2
84;84;4;0;0;105;3
83;83;3;0;0;105;4
104;104;5;0;0;105;5
125;126;8;0;1;105;6
145;145;10;3;1;105;7
340;340;8;1;0;105;8
60;60;3;0;0;66;1
138;138;8;0;0;66;2
116;116;4;1;0;66;3
199;199;10;3;0;66;4
123;123;7;0;0;66;5
138;138;9;0;0;66;6
269;269;8;0;0;66;7
406;406;16;0;1;66;8
52;52;1;0;0;65;1
201;201;7;2;0;65;2
110;110;7;1;1;65;3
182;182;15;4;0;65;4
129;129;9;0;1;65;5
193;193;11;2;0;65;6
237;237;10;1;1;65;7
474;474;20;0;0;65;8
45;45;3;1;0;64;1
141;141;6;0;0;64;2
125;125;7;0;1;64;3
223;223;14;1;1;64;4
138;139;9;1;0;64;5
169;169;6;0;0;64;6
225;225;7;1;0;64;7
394;394;23;1;0;64;8
48;48;4;1;0;63;1
139;139;4;0;0;63;2
90;90;4;2;1;63;3
188;188;13;0;2;63;4
141;141;6;1;1;63;5
128;128;6;2;1;63;6
213;214;12;1;0;63;7
478;478;30;3;1;63;8
32;32;2;0;0;62;1
