confirmados_pdia;total_confirmados;hospitalizados;uci;fallecidos;cod_cuando;cod_donde_provincia
148;148;14;2;2;135;7
218;218;25;1;8;135;8
185;185;16;4;3;11;1
117;117;12;2;3;11;2
97;97;14;4;0;11;3
185;185;18;3;3;11;4
29;29;4;0;0;11;5
66;66;9;1;1;11;6
198;200;16;1;3;11;7
266;266;17;4;4;11;8
142;142;14;2;2;10;1
152;152;19;6;4;10;2
94;94;9;1;1;10;3
204;204;30;7;4;10;4
33;33;4;0;1;10;5
61;61;5;0;1;10;6
211;211;20;4;4;10;7
257;257;19;1;4;10;8
107;107;9;2;0;9;1
114;114;9;1;2;9;2
73;73;9;0;3;9;3
133;133;15;2;3;9;4
11;11;1;0;0;9;5
55;55;6;0;3;9;6
153;153;13;1;1;9;7
198;198;19;2;2;9;8
51;51;4;1;1;136;1
20;20;3;0;0;136;2
18;18;5;0;0;136;3
36;36;8;1;1;136;4
6;6;1;0;1;136;5
14;14;0;0;0;136;6
73;73;15;1;2;136;7
68;68;8;1;4;136;8
93;93;14;4;4;137;1
69;69;8;1;2;137;2
44;44;6;1;0;137;3
49;49;9;4;1;137;4
5;5;1;0;0;137;5
22;22;2;0;0;137;6
53;53;8;0;1;137;7
87;87;13;2;8;137;8
105;105;10;2;2;138;1
81;81;7;0;0;138;2
57;57;6;1;1;138;3
58;58;11;1;2;138;4
22;22;4;1;0;138;5
33;33;2;0;0;138;6
112;112;15;1;3;138;7
148;150;13;2;2;138;8
153;153;14;4;4;8;1
128;128;14;3;4;8;2
73;73;9;2;0;8;3
194;194;16;1;2;8;4
28;28;2;0;1;8;5
89;89;11;1;2;8;6
167;167;13;2;2;8;7
275;276;25;3;5;8;8
147;147;12;1;5;7;1
129;130;14;1;2;7;2
65;65;8;0;1;7;3
151;151;19;2;4;7;4
36;36;4;0;1;7;5
46;46;7;1;2;7;6
185;185;12;1;3;7;7
256;256;15;1;4;7;8
150;150;17;5;4;6;1
149;149;12;1;1;6;2
91;91;11;0;2;6;3
145;145;19;3;3;6;4
53;53;4;0;0;6;5
71;71;4;0;0;6;6
168;169;11;1;1;6;7
242;242;26;4;9;6;8
210;210;23;2;6;5;1
137;137;3;0;0;5;2
78;78;9;1;1;5;3
178;178;29;7;4;5;4
58;58;4;0;2;5;5
72;72;5;0;2;5;6
178;178;17;3;3;5;7
218;218;21;0;3;5;8
141;141;13;2;3;4;1
118;118;21;2;4;4;2
42;42;4;0;1;4;3
154;154;24;3;1;4;4
32;32;6;0;1;4;5
51;52;9;2;3;4;6
226;226;16;2;4;4;7
260;260;33;4;1;4;8
55;55;7;2;1;139;1
66;66;7;0;0;139;2
23;23;6;0;2;139;3
59;59;17;3;3;139;4
4;4;1;0;0;139;5
24;24;4;0;2;139;6
63;63;13;0;1;139;7
66;66;9;2;0;139;8
196;196;15;1;4;140;1
112;112;6;2;2;140;2
67;67;6;1;1;140;3
47;47;10;1;2;140;4
26;26;4;0;2;140;5
49;49;4;0;0;140;6
114;114;11;2;3;140;7
147;148;14;2;4;140;8
163;163;12;4;1;3;1
210;210;9;1;3;3;2
124;124;6;0;2;3;3
170;170;19;1;4;3;4
55;55;5;0;0;3;5
72;72;14;0;0;3;6
294;294;19;2;7;3;7
266;267;20;2;3;3;8
185;185;11;8;2;2;1
234;235;17;1;3;2;2
115;115;10;0;1;2;3
195;195;20;6;3;2;4
57;57;5;1;1;2;5
76;76;3;0;2;2;6
327;327;32;2;5;2;7
346;347;17;1;2;2;8
182;182;15;2;7;1;1
223;223;17;2;3;1;2
91;91;11;1;4;1;3
211;211;13;3;6;1;4
68;68;13;1;1;1;5
86;86;8;1;2;1;6
310;310;24;3;4;1;7
418;418;19;4;4;1;8
188;188;12;1;6;141;1
341;341;17;0;3;141;2
114;114;16;1;3;141;3
198;198;17;3;6;141;4
96;96;10;0;2;141;5
123;124;9;2;2;141;6
465;465;32;5;12;141;7
397;397;37;3;8;141;8
201;201;17;1;3;142;1
196;196;14;1;1;142;2
68;68;12;1;2;142;3
212;212;29;8;8;142;4
78;79;18;1;1;142;5
72;72;10;0;1;142;6
318;318;36;3;8;142;7
283;283;32;2;8;142;8
105;105;14;4;5;143;1
146;146;14;2;2;143;2
82;82;4;1;0;143;3
50;50;12;2;2;143;4
20;20;1;1;0;143;5
33;33;3;0;0;143;6
121;121;18;2;6;143;7
165;165;18;1;3;143;8
143;143;18;2;4;144;1
349;349;21;2;3;144;2
84;84;8;3;3;144;3
66;66;13;1;1;144;4
60;60;6;0;1;144;5
55;55;2;0;1;144;6
360;361;38;4;6;144;7
252;253;20;2;7;144;8
255;255;22;4;4;145;1
385;385;28;3;3;145;2
140;140;15;1;1;145;3
258;258;17;1;4;145;4
105;105;9;0;1;145;5
153;154;11;1;3;145;6
442;442;29;0;4;145;7
644;647;38;3;3;145;8
282;282;16;0;4;146;1
463;463;30;4;10;146;2
123;123;17;4;5;146;3
270;270;25;2;5;146;4
115;115;13;1;3;146;5
156;156;18;0;4;146;6
649;649;31;1;8;146;7
623;623;41;4;8;146;8
324;324;28;2;3;147;1
570;570;41;3;8;147;2
165;165;10;1;1;147;3
302;302;27;2;7;147;4
139;139;12;0;1;147;5
162;163;13;1;5;147;6
579;580;38;1;7;147;7
622;622;48;3;7;147;8
378;378;24;5;5;148;1
718;718;46;2;6;148;2
192;192;22;1;3;148;3
346;346;27;0;4;148;4
160;160;14;4;5;148;5
181;181;8;1;4;148;6
542;542;43;3;5;148;7
750;751;51;1;6;148;8
231;231;15;1;2;149;1
434;434;34;4;7;149;2
132;133;11;2;2;149;3
323;323;30;1;7;149;4
106;106;9;0;2;149;5
190;190;17;1;3;149;6
507;508;45;6;10;149;7
506;506;50;6;12;149;8
166;166;15;2;1;150;1
364;365;30;2;6;150;2
90;90;8;2;3;150;3
84;84;27;2;6;150;4
43;43;7;1;4;150;5
44;44;11;2;1;150;6
308;309;24;0;9;150;7
354;356;34;3;3;150;8
405;405;28;5;4;151;1
551;551;22;3;6;151;2
197;197;23;3;1;151;3
121;121;20;4;4;151;4
144;144;7;1;2;151;5
146;146;11;1;2;151;6
556;557;25;2;8;151;7
611;611;36;3;4;151;8
517;517;22;4;6;152;1
958;958;53;8;12;152;2
272;272;23;3;5;152;3
374;374;20;4;5;152;4
250;252;10;1;1;152;5
260;260;13;2;2;152;6
916;916;44;7;16;152;7
898;898;54;4;10;152;8
511;512;37;6;8;153;1
992;992;55;4;9;153;2
293;293;19;1;3;153;3
430;430;27;2;4;153;4
306;306;17;2;2;153;5
215;215;22;2;3;153;6
1200;1200;66;9;17;153;7
882;882;62;5;13;153;8
493;493;22;3;6;154;1
949;949;46;6;9;154;2
371;371;21;3;1;154;3
515;515;39;2;10;154;4
314;314;17;1;6;154;5
350;350;24;1;3;154;6
995;997;55;4;10;154;7
1038;1038;65;4;11;154;8
494;494;41;3;15;155;1
880;880;69;7;15;155;2
297;300;29;6;10;155;3
578;578;51;6;15;155;4
370;371;21;0;6;155;5
349;349;34;7;10;155;6
1049;1051;70;7;14;155;7
1112;1113;70;9;11;155;8
610;610;40;8;14;156;1
765;765;47;2;9;156;2
359;360;30;6;9;156;3
566;566;52;5;19;156;4
212;213;28;2;7;156;5
257;257;28;2;7;156;6
1115;1115;79;8;18;156;7
805;808;64;9;17;156;8
528;528;23;2;6;157;1
511;511;36;2;4;157;2
289;289;25;2;5;157;3
119;119;24;2;3;157;4
122;122;12;0;0;157;5
130;130;16;0;3;157;6
686;687;53;4;8;157;7
404;404;37;1;4;157;8
541;541;32;3;7;158;1
959;959;60;5;9;158;2
373;373;20;4;3;158;3
246;246;40;2;10;158;4
271;272;18;1;4;158;5
221;221;17;1;3;158;6
873;873;68;3;16;158;7
906;907;59;3;12;158;8
705;705;41;6;12;159;1
1175;1176;80;8;13;159;2
444;444;36;5;9;159;3
754;754;50;4;10;159;4
520;520;28;0;5;159;5
347;348;26;2;8;159;6
1238;1239;67;6;9;159;7
1260;1261;86;9;19;159;8
631;631;43;4;13;160;1
1096;1096;78;7;18;160;2
542;542;36;5;7;160;3
749;749;51;8;13;160;4
462;462;35;1;8;160;5
533;534;44;1;7;160;6
1452;1452;78;7;14;160;7
1581;1581;96;2;22;160;8
720;720;41;6;15;161;1
1191;1191;78;7;25;161;2
539;540;35;5;10;161;3
847;847;52;7;10;161;4
455;455;27;2;4;161;5
424;424;36;1;5;161;6
1670;1670;85;8;20;161;7
1482;1483;106;10;24;161;8
688;688;47;1;16;162;1
1226;1226;93;6;24;162;2
583;585;40;2;3;162;3
912;913;72;7;15;162;4
558;558;33;2;9;162;5
371;371;41;3;7;162;6
1484;1485;117;8;28;162;7
1397;1397;89;8;17;162;8
624;624;26;4;8;163;1
1000;1000;68;5;20;163;2
505;506;38;7;11;163;3
765;765;62;7;16;163;4
423;426;25;1;4;163;5
357;358;35;3;5;163;6
1332;1332;105;6;19;163;7
1187;1196;98;5;21;163;8
451;451;32;2;7;164;1
977;977;81;10;13;164;2
364;364;29;4;10;164;3
244;244;39;8;7;164;4
171;171;8;0;2;164;5
184;184;12;0;1;164;6
756;756;65;5;19;164;7
501;502;69;4;15;164;8
554;554;31;4;7;165;1
973;973;77;11;24;165;2
421;421;46;6;8;165;3
335;335;34;5;3;165;4
392;392;20;0;6;165;5
297;297;24;4;8;165;6
1210;1211;86;3;11;165;7
1094;1097;71;6;20;165;8
886;886;50;3;11;166;1
1409;1409;93;9;26;166;2
835;835;45;2;12;166;3
882;882;57;1;17;166;4
591;591;29;2;11;166;5
567;567;37;3;5;166;6
1911;1911;116;9;23;166;7
1703;1708;110;8;15;166;8
982;982;46;11;12;167;1
1328;1330;83;5;22;167;2
670;670;41;4;12;167;3
797;797;52;5;14;167;4
557;558;40;2;9;167;5
479;479;45;9;10;167;6
1716;1716;106;9;31;167;7
1406;1407;99;10;28;167;8
762;762;52;5;13;168;1
1324;1325;98;7;35;168;2
620;620;48;9;15;168;3
892;892;81;7;21;168;4
556;556;26;1;6;168;5
439;439;33;1;7;168;6
1641;1642;97;7;30;168;7
1428;1430;83;7;21;168;8
760;760;48;7;8;169;1
1281;1282;88;16;33;169;2
667;667;42;4;11;169;3
880;880;58;8;17;169;4
491;491;29;3;8;169;5
607;607;39;4;13;169;6
1694;1699;115;15;38;169;7
1228;1229;98;2;19;169;8
607;608;55;10;14;170;1
1020;1021;73;6;46;170;2
644;646;57;6;18;170;3
761;761;64;7;11;170;4
418;418;25;1;2;170;5
409;411;31;6;7;170;6
1342;1343;83;5;21;170;7
1191;1191;92;7;18;170;8
498;498;22;3;6;171;1
582;583;37;2;11;171;2
397;397;30;7;4;171;3
172;172;23;5;5;171;4
165;165;7;0;1;171;5
172;172;19;2;4;171;6
753;753;59;7;16;171;7
508;511;61;4;17;171;8
593;593;31;3;7;172;1
873;876;55;6;13;172;2
365;365;32;8;4;172;3
268;268;30;4;4;172;4
305;305;30;1;9;172;5
292;292;16;3;4;172;6
874;874;63;7;13;172;7
737;739;59;7;20;172;8
729;729;38;9;13;173;1
1309;1313;76;8;31;173;2
639;639;48;10;18;173;3
808;808;46;6;10;173;4
500;502;28;2;4;173;5
575;576;42;3;12;173;6
1693;1694;103;10;20;173;7
1442;1442;88;11;20;173;8
699;699;33;6;10;174;1
1171;1172;79;8;27;174;2
573;573;43;7;14;174;3
661;661;50;7;15;174;4
435;435;25;3;5;174;5
502;502;30;0;2;174;6
1498;1498;88;10;28;174;7
1185;1189;70;8;10;174;8
672;672;37;5;11;175;1
1167;1167;80;9;53;175;2
589;589;34;7;13;175;3
621;621;53;10;10;175;4
433;434;27;2;5;175;5
468;469;38;2;17;175;6
1441;1441;67;6;22;175;7
1116;1118;63;13;13;175;8
681;681;44;5;13;176;1
1091;1091;69;4;18;176;2
480;480;23;5;5;176;3
665;665;45;10;16;176;4
475;475;26;1;11;176;5
453;453;30;0;9;176;6
1444;1444;81;5;18;176;7
1030;1030;51;6;14;176;8
403;403;28;5;6;177;1
925;926;62;9;25;177;2
417;417;20;1;3;177;3
591;591;43;7;9;177;4
344;344;24;0;5;177;5
377;377;26;4;8;177;6
1225;1228;83;10;35;177;7
787;787;54;7;14;177;8
293;293;19;4;4;178;1
385;385;20;5;10;178;2
237;237;19;2;2;178;3
162;162;23;4;6;178;4
81;81;2;0;2;178;5
181;181;15;1;0;178;6
479;480;48;8;12;178;7
303;303;26;4;7;178;8
474;474;23;7;6;179;1
627;628;33;1;12;179;2
275;275;19;6;4;179;3
190;190;22;5;5;179;4
176;176;16;3;3;179;5
209;209;16;2;4;179;6
720;720;52;9;18;179;7
644;644;36;6;7;179;8
447;448;26;3;5;180;1
804;804;49;3;38;180;2
432;432;26;2;5;180;3
522;522;41;6;7;180;4
277;277;14;1;2;180;5
373;374;20;0;1;180;6
1007;1009;51;2;5;180;7
614;616;40;4;9;180;8
275;276;16;5;3;181;1
538;538;32;1;14;181;2
243;243;15;3;2;181;3
380;380;30;2;8;181;4
181;181;6;0;1;181;5
233;233;16;3;3;181;6
780;781;45;4;11;181;7
621;621;49;3;8;181;8
301;301;21;6;7;182;1
284;285;24;3;15;182;2
193;193;14;3;1;182;3
181;181;25;6;3;182;4
58;58;6;1;2;182;5
181;181;18;2;2;182;6
487;490;43;4;24;182;7
227;227;18;0;4;182;8
348;348;12;4;7;183;1
613;613;33;6;11;183;2
279;279;20;4;5;183;3
377;378;27;1;5;183;4
133;136;7;2;3;183;5
352;352;20;4;4;183;6
835;835;45;5;3;183;7
468;468;25;4;2;183;8
228;228;16;3;5;184;1
443;443;30;3;8;184;2
220;220;20;5;3;184;3
303;303;26;3;8;184;4
96;97;3;0;1;184;5
167;168;13;2;2;184;6
556;556;37;2;13;184;7
444;445;24;6;4;184;8
131;132;10;1;1;185;1
326;326;14;3;4;185;2
99;99;14;1;2;185;3
87;87;10;4;2;185;4
34;34;2;0;0;185;5
113;113;13;0;2;185;6
197;197;19;1;5;185;7
120;120;9;1;2;185;8
71;72;8;1;1;186;1
272;272;14;2;6;186;2
93;93;9;1;0;186;3
80;80;9;2;3;186;4
25;25;2;0;0;186;5
130;130;2;0;0;186;6
245;245;25;5;4;186;7
190;190;19;1;3;186;8
107;107;9;5;2;187;1
128;128;4;1;1;187;2
88;89;4;1;1;187;3
74;74;11;3;5;187;4
70;70;5;3;1;187;5
55;55;8;0;1;187;6
201;201;19;5;6;187;7
92;92;12;4;2;187;8
207;207;8;3;3;188;1
332;332;16;4;4;188;2
187;187;12;2;4;188;3
119;119;9;1;4;188;4
130;130;5;2;0;188;5
146;146;6;1;1;188;6
348;349;22;0;6;188;7
299;299;18;3;2;188;8
188;188;13;3;4;189;1
419;419;21;2;9;189;2
134;134;7;0;1;189;3
236;236;31;2;11;189;4
81;81;4;1;1;189;5
166;166;10;1;2;189;6
449;449;17;0;1;189;7
311;311;27;5;8;189;8
130;130;3;1;0;190;1
381;381;18;2;2;190;2
132;132;12;1;1;190;3
175;175;23;3;5;190;4
91;91;8;0;2;190;5
190;190;17;2;2;190;6
416;416;20;1;5;190;7
274;274;13;2;5;190;8
115;115;7;1;3;191;1
292;292;22;3;5;191;2
101;101;12;0;3;191;3
129;130;13;4;3;191;4
74;74;6;3;1;191;5
107;107;8;0;2;191;6
285;285;18;2;6;191;7
164;164;11;0;1;191;8
65;65;5;0;2;192;1
133;133;6;0;1;192;2
34;34;6;0;2;192;3
53;53;12;2;2;192;4
24;24;0;0;0;192;5
82;82;8;1;2;192;6
77;77;7;2;2;192;7
80;80;3;1;2;192;8
59;59;7;1;1;193;1
138;138;11;0;0;193;2
44;44;4;0;1;193;3
56;56;2;0;1;193;4
14;14;2;0;0;193;5
60;60;5;0;1;193;6
100;100;8;0;0;193;7
107;107;7;0;2;193;8
76;76;5;1;1;194;1
59;59;5;0;1;194;2
47;47;6;0;2;194;3
23;23;4;1;1;194;4
27;27;1;0;0;194;5
62;62;4;1;2;194;6
87;87;5;0;1;194;7
54;54;9;4;3;194;8
87;87;6;0;1;195;1
180;180;6;1;3;195;2
87;88;10;1;1;195;3
56;56;6;1;2;195;4
39;39;2;0;1;195;5
99;99;5;1;1;195;6
192;192;13;1;4;195;7
199;199;13;1;2;195;8
122;122;10;1;2;196;1
265;265;11;0;1;196;2
98;98;8;0;3;196;3
150;150;10;1;6;196;4
75;75;4;0;0;196;5
120;120;4;0;0;196;6
261;261;18;0;1;196;7
223;223;16;3;1;196;8
113;113;8;1;5;197;1
213;213;19;2;3;197;2
104;104;6;0;0;197;3
142;143;13;1;7;197;4
65;65;4;1;2;197;5
108;108;7;0;4;197;6
209;210;13;0;2;197;7
201;202;17;2;4;197;8
114;114;9;3;2;198;1
150;150;10;1;1;198;2
109;109;9;0;4;198;3
126;127;16;5;5;198;4
28;28;1;0;1;198;5
95;95;6;0;2;198;6
159;159;12;3;3;198;7
128;129;6;1;1;198;8
45;45;2;0;0;199;1
82;82;9;1;2;199;2
37;37;5;0;3;199;3
28;28;6;0;3;199;4
14;14;2;0;1;199;5
34;34;4;0;1;199;6
47;47;7;1;4;199;7
48;48;6;0;1;199;8
99;99;3;0;0;200;1
145;145;8;0;1;200;2
53;53;5;2;0;200;3
51;51;5;0;2;200;4
29;29;3;0;1;200;5
78;78;6;1;0;200;6
126;126;15;2;3;200;7
100;100;3;0;1;200;8
153;153;10;2;5;201;1
188;188;6;1;0;201;2
82;82;5;1;0;201;3
209;210;19;1;6;201;4
65;65;3;1;1;201;5
135;135;9;0;1;201;6
198;198;8;0;1;201;7
149;149;9;2;1;201;8
138;138;3;0;0;202;1
170;170;8;2;2;202;2
106;106;6;1;7;202;3
125;125;17;2;3;202;4
59;59;5;0;0;202;5
144;144;15;1;3;202;6
187;187;3;0;2;202;7
179;179;15;1;2;202;8
109;109;6;0;0;203;1
215;215;13;2;3;203;2
79;79;2;0;0;203;3
155;155;13;2;5;203;4
99;99;4;0;1;203;5
143;143;12;2;2;203;6
220;220;8;0;1;203;7
156;156;11;2;1;203;8
162;162;17;0;3;204;1
217;217;16;4;3;204;2
94;94;6;0;2;204;3
141;141;17;4;7;204;4
76;76;3;0;1;204;5
162;162;15;1;5;204;6
269;269;14;2;2;204;7
218;219;16;1;2;204;8
47;47;4;1;0;205;1
168;168;8;0;1;205;2
119;119;8;0;13;205;3
118;119;8;1;1;205;4
54;55;3;0;0;205;5
114;114;13;2;3;205;6
158;159;13;1;3;205;7
139;140;12;1;2;205;8
62;62;9;1;1;206;1
59;59;9;2;2;206;2
28;28;1;1;0;206;3
39;39;7;2;2;206;4
38;38;3;0;0;206;5
61;61;10;2;4;206;6
71;71;12;0;0;206;7
59;59;5;0;1;206;8
127;128;10;2;4;207;1
184;184;9;0;3;207;2
84;85;9;2;5;207;3
58;58;11;1;4;207;4
57;57;3;1;1;207;5
80;81;7;0;0;207;6
103;104;7;0;0;207;7
129;129;8;1;1;207;8
123;123;9;0;3;208;1
225;225;18;2;3;208;2
171;172;17;0;9;208;3
129;129;17;1;5;208;4
105;105;4;0;0;208;5
202;202;19;3;3;208;6
198;198;21;1;3;208;7
197;198;20;5;6;208;8
153;153;8;2;0;209;1
241;241;8;0;3;209;2
94;94;3;0;1;209;3
131;131;16;2;3;209;4
129;129;6;0;1;209;5
118;118;11;2;6;209;6
214;214;11;0;1;209;7
218;219;18;1;6;209;8
75;75;16;4;3;210;1
142;142;8;0;1;210;2
75;75;3;0;1;210;3
113;113;12;1;1;210;4
63;63;6;0;1;210;5
127;127;12;1;5;210;6
102;102;8;0;2;210;7
184;184;16;2;2;210;8
42;42;2;1;0;211;1
57;58;5;0;2;211;2
61;62;8;2;2;211;3
30;30;5;0;0;211;4
29;29;7;0;1;211;5
43;44;5;0;0;211;6
58;58;7;1;1;211;7
75;76;15;0;5;211;8
51;51;2;0;0;212;1
76;76;7;0;0;212;2
58;58;5;0;2;212;3
31;31;9;3;3;212;4
38;38;6;0;1;212;5
82;82;11;2;4;212;6
56;56;8;0;1;212;7
69;69;7;0;3;212;8
62;62;2;0;1;213;1
118;118;13;3;2;213;2
45;45;4;0;0;213;3
22;22;8;2;2;213;4
33;33;2;0;1;213;5
59;59;5;1;0;213;6
33;33;6;1;1;213;7
48;48;7;1;3;213;8
142;142;16;3;4;214;1
178;178;20;1;1;214;2
75;75;12;2;3;214;3
27;27;2;0;1;214;4
48;48;5;0;3;214;5
61;61;7;1;1;214;6
123;123;4;0;0;214;7
132;132;7;0;2;214;8
75;75;6;3;4;215;1
259;260;9;4;1;215;2
127;127;5;0;3;215;3
133;133;9;0;4;215;4
119;120;7;0;2;215;5
150;150;4;0;0;215;6
195;195;10;1;2;215;7
176;176;13;3;1;215;8
122;122;6;0;1;216;1
210;210;16;3;5;216;2
135;135;2;0;0;216;3
116;116;7;0;1;216;4
109;109;7;0;1;216;5
118;119;14;0;3;216;6
199;199;14;0;2;216;7
178;179;10;0;0;216;8
117;117;6;0;2;217;1
270;270;10;1;6;217;2
105;106;7;2;2;217;3
135;136;14;0;4;217;4
136;136;10;0;0;217;5
128;129;13;1;4;217;6
209;209;13;1;0;217;7
232;232;20;2;5;217;8
161;161;19;2;7;218;1
284;284;20;1;3;218;2
140;140;9;0;3;218;3
153;153;15;3;3;218;4
95;95;4;1;1;218;5
187;188;12;3;3;218;6
179;179;14;3;3;218;7
236;236;18;1;2;218;8
66;66;8;1;1;219;1
134;134;10;0;3;219;2
90;90;5;1;1;219;3
161;161;12;2;2;219;4
65;66;5;0;1;219;5
108;109;21;1;7;219;6
149;150;6;0;1;219;7
209;210;17;2;4;219;8
42;42;13;3;4;220;1
102;102;9;0;1;220;2
51;51;6;2;4;220;3
44;44;13;4;4;220;4
23;23;1;0;0;220;5
55;55;11;1;1;220;6
86;86;9;1;1;220;7
65;65;7;1;1;220;8
155;155;9;1;7;221;1
248;248;16;1;4;221;2
83;83;5;0;3;221;3
41;41;7;0;1;221;4
54;54;6;1;0;221;5
109;109;12;1;6;221;6
127;127;9;1;3;221;7
126;126;14;2;2;221;8
166;166;13;2;2;222;1
350;350;21;2;5;222;2
191;191;12;2;4;222;3
205;205;15;3;4;222;4
148;148;12;1;1;222;5
152;153;5;0;3;222;6
357;358;22;1;3;222;7
272;272;24;5;7;222;8
188;188;18;2;1;223;1
390;390;20;3;5;223;2
109;109;9;1;0;223;3
202;202;26;1;6;223;4
130;131;4;0;0;223;5
156;157;13;1;3;223;6
251;252;23;1;7;223;7
317;317;15;1;4;223;8
171;171;21;0;3;224;1
376;376;25;2;4;224;2
191;191;21;1;12;224;3
279;279;18;4;3;224;4
163;163;19;2;1;224;5
140;140;15;3;5;224;6
237;237;17;1;2;224;7
298;299;14;1;5;224;8
201;202;13;4;3;225;1
411;411;24;4;6;225;2
173;173;11;2;2;225;3
314;314;24;2;4;225;4
180;184;11;0;0;225;5
244;246;24;1;1;225;6
289;289;17;1;7;225;7
334;334;22;2;8;225;8
124;124;13;5;2;226;1
249;249;24;4;2;226;2
112;112;7;0;1;226;3
294;294;32;1;11;226;4
74;74;5;0;1;226;5
130;130;7;1;2;226;6
212;212;20;4;5;226;7
277;277;23;3;4;226;8
71;71;9;2;3;227;1
229;229;27;1;7;227;2
51;51;2;1;1;227;3
59;59;14;2;2;227;4
35;35;5;0;1;227;5
105;105;11;0;2;227;6
102;103;14;1;5;227;7
144;144;21;1;2;227;8
184;184;11;4;1;228;1
413;414;16;0;3;228;2
119;120;12;1;1;228;3
100;100;19;2;4;228;4
111;111;7;0;1;228;5
162;162;9;1;1;228;6
201;201;21;1;8;228;7
310;311;25;3;6;228;8
192;192;11;2;2;229;1
434;434;24;2;3;229;2
196;196;20;4;7;229;3
503;504;24;3;8;229;4
192;192;8;1;1;229;5
335;336;25;0;4;229;6
394;394;33;2;12;229;7
493;493;21;2;4;229;8
262;262;9;2;3;230;1
492;493;20;3;1;230;2
223;224;18;1;4;230;3
470;471;33;1;8;230;4
198;200;13;0;1;230;5
239;239;17;0;5;230;6
364;364;32;4;12;230;7
669;670;37;2;2;230;8
283;283;13;4;8;231;1
525;525;36;3;8;231;2
226;226;19;0;6;231;3
487;487;35;4;8;231;4
250;251;18;1;1;231;5
357;358;21;2;2;231;6
389;390;35;6;8;231;7
685;687;35;5;6;231;8
259;259;22;4;3;232;1
494;495;35;1;4;232;2
261;263;17;3;3;232;3
602;602;45;4;9;232;4
255;255;13;3;1;232;5
342;342;19;0;2;232;6
383;383;25;1;7;232;7
782;783;50;4;10;232;8
172;172;12;4;1;233;1
405;407;27;5;5;233;2
195;195;24;4;5;233;3
449;449;47;4;12;233;4
119;120;13;1;0;233;5
205;206;37;2;8;233;6
282;282;22;1;7;233;7
634;634;43;7;5;233;8
113;113;4;1;1;234;1
320;320;12;0;2;234;2
104;104;14;1;6;234;3
134;134;21;3;3;234;4
33;33;1;0;0;234;5
129;129;10;0;2;234;6
208;208;20;0;3;234;7
324;324;20;2;2;234;8
203;203;13;5;3;235;1
477;477;24;0;2;235;2
179;179;16;1;2;235;3
367;367;37;4;6;235;4
107;108;11;0;2;235;5
235;235;16;2;5;235;6
283;283;31;3;5;235;7
455;455;25;2;7;235;8
327;327;12;1;2;236;1
665;665;40;6;6;236;2
262;263;22;4;5;236;3
809;809;54;4;16;236;4
218;219;14;0;3;236;5
479;479;38;0;11;236;6
473;473;25;2;3;236;7
922;925;61;10;20;236;8
352;352;12;3;1;237;1
498;498;36;7;8;237;2
327;327;32;3;8;237;3
814;815;63;9;21;237;4
259;260;6;1;1;237;5
466;467;39;2;9;237;6
528;528;32;0;5;237;7
1038;1039;54;6;13;237;8
266;267;13;3;2;238;1
581;582;39;5;12;238;2
324;324;29;5;6;238;3
939;940;53;8;16;238;4
339;340;17;2;2;238;5
440;440;33;4;8;238;6
537;537;43;5;8;238;7
993;994;61;6;16;238;8
303;303;19;2;6;239;1
550;550;28;5;9;239;2
395;395;35;2;10;239;3
937;937;59;5;27;239;4
279;279;16;0;2;239;5
376;376;27;2;5;239;6
471;472;32;2;6;239;7
1049;1049;62;4;13;239;8
220;220;11;1;6;240;1
424;424;42;7;8;240;2
331;331;32;2;5;240;3
689;689;61;4;12;240;4
214;215;15;1;3;240;5
477;477;37;3;9;240;6
464;464;36;2;8;240;7
937;937;77;5;19;240;8
145;145;5;1;2;241;1
417;417;19;2;8;241;2
194;194;18;1;5;241;3
195;195;27;0;11;241;4
49;49;2;0;0;241;5
235;235;19;0;8;241;6
226;226;20;2;3;241;7
434;434;48;7;9;241;8
299;300;15;4;3;242;1
483;483;36;3;13;242;2
365;366;28;6;6;242;3
481;481;58;6;17;242;4
124;124;9;1;1;242;5
413;413;38;1;13;242;6
342;342;28;3;7;242;7
678;679;49;4;8;242;8
294;295;11;1;2;243;1
534;534;40;7;10;243;2
401;401;38;7;9;243;3
1157;1159;82;16;20;243;4
267;267;17;0;3;243;5
414;415;34;2;7;243;6
671;671;53;6;7;243;7
1280;1280;89;12;17;243;8
233;233;11;0;4;244;1
504;504;37;4;15;244;2
408;409;29;1;6;244;3
1045;1046;78;7;23;244;4
253;253;13;1;2;244;5
535;536;31;5;11;244;6
579;580;34;3;6;244;7
1181;1182;70;4;20;244;8
353;353;24;5;4;245;1
456;456;36;9;11;245;2
486;486;35;2;12;245;3
1123;1123;78;9;26;245;4
181;181;18;0;2;245;5
402;404;48;8;13;245;6
527;528;54;6;11;245;7
1236;1237;90;6;23;245;8
179;179;17;4;5;246;1
344;344;27;2;9;246;2
366;366;30;4;6;246;3
971;971;78;8;17;246;4
191;191;13;0;2;246;5
401;402;44;1;10;246;6
432;432;36;2;5;246;7
1028;1032;85;5;25;246;8
163;163;15;6;6;247;1
164;164;12;2;2;247;2
202;203;25;0;6;247;3
258;258;34;6;12;247;4
95;95;9;0;1;247;5
237;237;25;2;5;247;6
148;148;19;2;3;247;7
461;461;58;5;12;247;8
118;118;10;3;6;248;1
