"confirmados_pdia";"total_confirmados";"curados";"fallecidos";"cod_quien";"cod_cuando"
0;0;1;0;13;499
0;0;0;0;14;499
0;0;0;0;15;499
0;0;0;0;16;499
0;0;0;0;17;499
0;0;0;0;18;499
0;0;0;0;19;499
0;0;0;0;20;499
0;0;0;0;21;499
0;0;0;0;22;499
0;0;1;0;23;499
0;0;2;0;24;499
1;0;1;0;25;499
0;0;1;0;26;499
0;0;0;0;27;499
5;5;4;0;28;499
0;0;0;0;29;499
0;0;0;0;30;499
0;0;0;0;31;499
1;1;1;0;32;499
0;0;1;0;33;499
0;0;0;0;34;499
0;0;0;0;35;499
0;0;0;0;36;499
0;0;0;0;1;500
0;0;1;0;2;500
0;0;0;0;3;500
0;0;1;0;4;500
0;0;0;0;5;500
0;0;0;0;6;500
0;0;3;0;7;500
0;0;0;0;8;500
0;0;0;0;9;500
0;0;0;0;10;500
0;0;0;0;11;500
0;0;0;0;12;500
0;0;0;0;13;500
0;0;0;0;14;500
0;0;0;0;15;500
0;0;0;0;16;500
0;0;0;0;17;500
0;0;0;0;18;500
1;1;1;0;19;500
0;0;1;0;20;500
0;0;1;0;21;500
0;0;-1;1;22;500
0;0;3;0;23;500
0;0;2;0;24;500
0;0;6;0;25;500
0;0;1;0;26;500
0;0;0;0;27;500
0;0;0;0;28;500
0;0;0;0;29;500
0;0;0;0;30;500
0;0;1;0;31;500
0;0;0;0;32;500
0;0;0;0;33;500
0;0;0;0;34;500
0;0;1;0;35;500
0;0;0;0;36;500
0;0;0;0;1;501
0;0;0;0;2;501
0;0;0;0;3;501
0;0;0;0;4;501
0;0;0;0;5;501
0;0;0;0;6;501
0;0;0;0;7;501
0;0;0;0;8;501
0;0;0;0;9;501
0;0;1;0;10;501
0;0;0;0;11;501
0;0;0;0;12;501
0;0;0;0;13;501
0;0;0;0;14;501
0;0;0;0;15;501
0;0;0;0;16;501
0;0;0;0;17;501
0;0;0;0;18;501
0;0;0;0;19;501
0;0;0;0;20;501
0;0;0;0;21;501
0;0;0;0;22;501
0;0;0;0;23;501
0;0;1;0;24;501
1;0;0;0;25;501
0;0;0;0;26;501
0;0;0;0;27;501
1;1;0;0;28;501
0;0;0;0;29;501
0;0;0;0;30;501
0;0;0;0;31;501
1;1;0;0;32;501
0;0;0;0;33;501
0;0;0;0;34;501
0;0;0;0;35;501
0;0;0;0;36;501
-1;-1;-1;0;1;502
0;0;0;0;2;502
1;1;0;1;3;502
1;1;0;1;4;502
1;1;0;1;5;502
1;1;1;1;6;502
1;1;0;0;7;502
0;0;0;0;8;502
0;0;0;0;9;502
1;1;2;0;10;502
0;0;0;0;11;502
0;0;0;0;12;502
0;0;0;0;13;502
0;0;0;0;14;502
0;0;0;0;15;502
0;0;0;0;16;502
0;0;0;0;17;502
0;0;0;0;18;502
0;0;0;0;19;502
0;0;0;0;20;502
0;0;4;0;21;502
2;2;4;2;22;502
1;1;3;0;23;502
0;0;13;0;24;502
