nombre_municipio;cod_donde_municipio;codigo_municipio_ine;distrito_sanitario;nombre_provincia;cod_provincia
Arjona;517;006;Jaén Norte;Jaén;23
Arjonilla;518;007;Jaén Norte;Jaén;23
Arquillos;519;008;Jaén Norte;Jaén;23
Bailén;520;010;Jaén Norte;Jaén;23
Baños de la Encina;521;011;Jaén Norte;Jaén;23
Carboneros;522;021;Jaén Norte;Jaén;23
Carolina (La);523;024;Jaén Norte;Jaén;23
Castellar;524;025;Jaén Norte;Jaén;23
Chiclana de Segura;525;029;Jaén Norte;Jaén;23
Escañuela;526;031;Jaén Norte;Jaén;23
Guarromán;527;039;Jaén Norte;Jaén;23
Jabalquinto;528;049;Jaén Norte;Jaén;23
Lahiguera;529;040;Jaén Norte;Jaén;23
Linares;530;055;Jaén Norte;Jaén;23
Marmolejo;531;059;Jaén Norte;Jaén;23
Montizón;532;062;Jaén Norte;Jaén;23
Navas de San Juan;533;063;Jaén Norte;Jaén;23
Santa Elena;534;076;Jaén Norte;Jaén;23
Santisteban del Puerto;535;079;Jaén Norte;Jaén;23
Sorihuela del Guadalimar;536;084;Jaén Norte;Jaén;23
Torreblascopedro;537;085;Jaén Norte;Jaén;23
Vilches;538;094;Jaén Norte;Jaén;23
Villanueva de la Reina;539;096;Jaén Norte;Jaén;23
Arroyo del Ojanco;540;905;Jaén Nordeste;Jaén;23
Beas de Segura;541;012;Jaén Nordeste;Jaén;23
Bedmar y Garcíez;542;902;Jaén Nordeste;Jaén;23
Begíjar;543;014;Jaén Nordeste;Jaén;23
Benatae;544;016;Jaén Nordeste;Jaén;23
Canena;545;020;Jaén Nordeste;Jaén;23
Cazorla;546;028;Jaén Nordeste;Jaén;23
Chilluévar;547;030;Jaén Nordeste;Jaén;23
Génave;548;037;Jaén Nordeste;Jaén;23
Hinojares;549;042;Jaén Nordeste;Jaén;23
Hornos;550;043;Jaén Nordeste;Jaén;23
Huesa;551;045;Jaén Nordeste;Jaén;23
Ibros;552;046;Jaén Nordeste;Jaén;23
Baeza;553;009;Jaén Nordeste;Jaén;23
Iruela (La);554;047;Jaén Nordeste;Jaén;23
Iznatoraf;555;048;Jaén Nordeste;Jaén;23
Jódar;556;053;Jaén Nordeste;Jaén;23
Larva;557;054;Jaén Nordeste;Jaén;23
Lupión;558;057;Jaén Nordeste;Jaén;23
Orcera;559;065;Jaén Nordeste;Jaén;23
Peal de Becerro;560;066;Jaén Nordeste;Jaén;23
Pozo Alcón;561;070;Jaén Nordeste;Jaén;23
Puente de Génave;562;071;Jaén Nordeste;Jaén;23
Puerta de Segura (La);563;072;Jaén Nordeste;Jaén;23
Quesada;564;073;Jaén Nordeste;Jaén;23
Rus;565;074;Jaén Nordeste;Jaén;23
Sabiote;566;075;Jaén Nordeste;Jaén;23
Santiago-Pontones;567;904;Jaén Nordeste;Jaén;23
Santo Tomé;568;080;Jaén Nordeste;Jaén;23
Segura de la Sierra;569;081;Jaén Nordeste;Jaén;23
Siles;570;082;Jaén Nordeste;Jaén;23
Torreperogil;571;088;Jaén Nordeste;Jaén;23
Torres de Albánchez;572;091;Jaén Nordeste;Jaén;23
Úbeda;573;092;Jaén Nordeste;Jaén;23
Villacarrillo;574;095;Jaén Nordeste;Jaén;23
Villanueva del Arzobispo;575;097;Jaén Nordeste;Jaén;23
Villarrodrigo;576;101;Jaén Nordeste;Jaén;23
Municipio de Jaén sin especificar;577;0;DS de Jaén desconocido;Jaén;23
Alcaucín;578;002;Axarquía;Málaga;29
Alfarnate;579;003;Axarquía;Málaga;29
Alfarnatejo;580;004;Axarquía;Málaga;29
Algarrobo;581;005;Axarquía;Málaga;29
Almáchar;582;009;Axarquía;Málaga;29
Árchez;583;016;Axarquía;Málaga;29
Arenas;584;019;Axarquía;Málaga;29
Benamargosa;585;026;Axarquía;Málaga;29
Benamocarra;586;027;Axarquía;Málaga;29
Borge (El);587;030;Axarquía;Málaga;29
Canillas de Aceituno;588;033;Axarquía;Málaga;29
Canillas de Albaida;589;034;Axarquía;Málaga;29
Casabermeja;590;039;Axarquía;Málaga;29
Colmenar;591;043;Axarquía;Málaga;29
Comares;592;044;Axarquía;Málaga;29
Cómpeta;593;045;Axarquía;Málaga;29
Cútar;594;050;Axarquía;Málaga;29
Frigiliana;595;053;Axarquía;Málaga;29
Iznate;596;062;Axarquía;Málaga;29
Nerja;597;075;Axarquía;Málaga;29
Periana;598;079;Axarquía;Málaga;29
Riogordo;599;083;Axarquía;Málaga;29
Salares;600;085;Axarquía;Málaga;29
Sayalonga;601;086;Axarquía;Málaga;29
Sedella;602;087;Axarquía;Málaga;29
Torrox;603;091;Axarquía;Málaga;29
Vélez-Málaga;604;094;Axarquía;Málaga;29
Viñuela;605;099;Axarquía;Málaga;29
Benahavís;606;023;Costa del Sol;Málaga;29
Benalmádena;607;025;Costa del Sol;Málaga;29
Casares;608;041;Costa del Sol;Málaga;29
Estepona;609;051;Costa del Sol;Málaga;29
Fuengirola;610;054;Costa del Sol;Málaga;29
Istán;611;061;Costa del Sol;Málaga;29
Manilva;612;068;Costa del Sol;Málaga;29
Marbella;613;069;Costa del Sol;Málaga;29
Mijas;614;070;Costa del Sol;Málaga;29
Ojén;615;076;Costa del Sol;Málaga;29
Torremolinos;616;901;Costa del Sol;Málaga;29
Alameda;617;001;La Vega;Málaga;29
Almargen;618;010;La Vega;Málaga;29
Antequera;619;015;La Vega;Málaga;29
Archidona;620;017;La Vega;Málaga;29
Campillos;621;032;La Vega;Málaga;29
Cañete la Real;622;035;La Vega;Málaga;29
Cuevas Bajas;623;047;La Vega;Málaga;29
Cuevas de San Marcos;624;049;La Vega;Málaga;29
Fuente de Piedra;625;055;La Vega;Málaga;29
Humilladero;626;059;La Vega;Málaga;29
Mollina;627;072;La Vega;Málaga;29
Sierra de Yeguas;628;088;La Vega;Málaga;29
Teba;629;089;La Vega;Málaga;29
Valle de Abdalajís;630;093;La Vega;Málaga;29
Villanueva de Algaidas;631;095;La Vega;Málaga;29
Villanueva de la Concepción;632;902;La Vega;Málaga;29
Villanueva de Tapia;633;098;La Vega;Málaga;29
Villanueva del Rosario;634;096;La Vega;Málaga;29
Villanueva del Trabuco;635;097;La Vega;Málaga;29
Almogía;636;011;Málaga (distrito);Málaga;29
Macharaviaya;637;066;Málaga (distrito);Málaga;29
Málaga (capital);638;067;Málaga (distrito);Málaga;29
Moclinejo;639;071;Málaga (distrito);Málaga;29
Rincón de la Victoria;640;082;Málaga (distrito);Málaga;29
Totalán;641;092;Málaga (distrito);Málaga;29
Algatocín;642;006;Serranía;Málaga;29
Alpandeire;643;014;Serranía;Málaga;29
Arriate;644;020;Serranía;Málaga;29
Atajate;645;021;Serranía;Málaga;29
Benadalid;646;022;Serranía;Málaga;29
Benalauría;647;024;Serranía;Málaga;29
Benaoján;648;028;Serranía;Málaga;29
Benarrabá;649;029;Serranía;Málaga;29
Burgo (El);650;031;Serranía;Málaga;29
Cartajima;651;037;Serranía;Málaga;29
Cortes de la Frontera;652;046;Serranía;Málaga;29
Cuevas del Becerro;653;048;Serranía;Málaga;29
Faraján;654;052;Serranía;Málaga;29
Gaucín;655;056;Serranía;Málaga;29
Genalguacil;656;057;Serranía;Málaga;29
Igualeja;657;060;Serranía;Málaga;29
Jimera de Líbar;658;063;Serranía;Málaga;29
Jubrique;659;064;Serranía;Málaga;29
Júzcar;660;065;Serranía;Málaga;29
Montecorto;661;903;Serranía;Málaga;29
Montejaque;662;074;Serranía;Málaga;29
Parauta;663;077;Serranía;Málaga;29
Pujerra;664;081;Serranía;Málaga;29
Ronda;665;084;Serranía;Málaga;29
Serrato;666;904;Serranía;Málaga;29
Alhaurín de la Torre;667;007;Valle del Guadalhorce;Málaga;29
Alhaurín el Grande;668;008;Valle del Guadalhorce;Málaga;29
Álora;669;012;Valle del Guadalhorce;Málaga;29
Alozaina;670;013;Valle del Guadalhorce;Málaga;29
Ardales;671;018;Valle del Guadalhorce;Málaga;29
Carratraca;672;036;Valle del Guadalhorce;Málaga;29
Cártama;673;038;Valle del Guadalhorce;Málaga;29
Casarabonela;674;040;Valle del Guadalhorce;Málaga;29
Coín;675;042;Valle del Guadalhorce;Málaga;29
Guaro;676;058;Valle del Guadalhorce;Málaga;29
Monda;677;073;Valle del Guadalhorce;Málaga;29
Pizarra;678;080;Valle del Guadalhorce;Málaga;29
Tolox;679;090;Valle del Guadalhorce;Málaga;29
Yunquera;680;100;Valle del Guadalhorce;Málaga;29
Municipio de Málaga sin especificar;681;0;DS de Málaga desconocido;Málaga;29
Albaida del Aljarafe;682;003;Aljarafe;Sevilla;41
Almensilla;683;010;Aljarafe;Sevilla;41
Aznalcázar;684;012;Aljarafe;Sevilla;41
Aznalcóllar;685;013;Aljarafe;Sevilla;41
Benacazón;686;015;Aljarafe;Sevilla;41
Bollullos de la Mitación;687;016;Aljarafe;Sevilla;41
Bormujos;688;017;Aljarafe;Sevilla;41
Camas;689;021;Aljarafe;Sevilla;41
Carrión de los Céspedes;690;025;Aljarafe;Sevilla;41
Castilleja de Guzmán;691;028;Aljarafe;Sevilla;41
Castilleja de la Cuesta;692;029;Aljarafe;Sevilla;41
Castilleja del Campo;693;030;Aljarafe;Sevilla;41
Chucena;694;030;Aljarafe;Sevilla;41
Coria del Río;695;034;Aljarafe;Sevilla;41
Espartinas;696;040;Aljarafe;Sevilla;41
Gelves;697;044;Aljarafe;Sevilla;41
Gines;698;047;Aljarafe;Sevilla;41
Hinojos;699;040;Aljarafe;Sevilla;41
Huévar del Aljarafe;700;051;Aljarafe;Sevilla;41
Isla Mayor;701;902;Aljarafe;Sevilla;41
Mairena del Aljarafe;702;059;Aljarafe;Sevilla;41
Olivares;703;067;Aljarafe;Sevilla;41
Palomares del Río;704;070;Aljarafe;Sevilla;41
Pilas;705;075;Aljarafe;Sevilla;41
Puebla del Río (La);706;079;Aljarafe;Sevilla;41
Salteras;707;085;Aljarafe;Sevilla;41
San Juan de Aznalfarache;708;086;Aljarafe;Sevilla;41
Sanlúcar la Mayor;709;087;Aljarafe;Sevilla;41
Santiponce;710;089;Aljarafe;Sevilla;41
Tomares;711;093;Aljarafe;Sevilla;41
Umbrete;712;094;Aljarafe;Sevilla;41
Valencina de la Concepción;713;096;Aljarafe;Sevilla;41
Villamanrique de la Condesa;714;097;Aljarafe;Sevilla;41
Villanueva del Ariscal;715;098;Aljarafe;Sevilla;41
Sevilla (capital);716;091;Sevilla (distrito);Sevilla;41
Aguadulce;717;001;Sevilla Este;Sevilla;41
Algámitas;718;008;Sevilla Este;Sevilla;41
Badolatosa;719;014;Sevilla Este;Sevilla;41
Cañada Rosal;720;901;Sevilla Este;Sevilla;41
Casariche;721;026;Sevilla Este;Sevilla;41
Corrales (Los);722;037;Sevilla Este;Sevilla;41
Écija;723;039;Sevilla Este;Sevilla;41
Estepa;724;041;Sevilla Este;Sevilla;41
Fuentes de Andalucía;725;042;Sevilla Este;Sevilla;41
Gilena;726;046;Sevilla Este;Sevilla;41
Herrera;727;050;Sevilla Este;Sevilla;41
Lantejuela;728;052;Sevilla Este;Sevilla;41
Lora de Estepa;729;054;Sevilla Este;Sevilla;41
Luisiana (La);730;056;Sevilla Este;Sevilla;41
Marchena;731;060;Sevilla Este;Sevilla;41
Marinaleda;732;061;Sevilla Este;Sevilla;41
Martín de la Jara;733;062;Sevilla Este;Sevilla;41
Osuna;734;068;Sevilla Este;Sevilla;41
Pedrera;735;072;Sevilla Este;Sevilla;41
Puebla de Cazalla (La);736;077;Sevilla Este;Sevilla;41
Roda de Andalucía (La);737;082;Sevilla Este;Sevilla;41
Rubio (El);738;084;Sevilla Este;Sevilla;41
Saucejo (El);739;090;Sevilla Este;Sevilla;41
Villanueva de San Juan;740;100;Sevilla Este;Sevilla;41
Alanís;741;002;Sevilla Norte;Sevilla;41
Alcalá del Río;742;005;Sevilla Norte;Sevilla;41
Alcolea del Río;743;006;Sevilla Norte;Sevilla;41
Algaba (La);744;007;Sevilla Norte;Sevilla;41
Almadén de la Plata;745;009;Sevilla Norte;Sevilla;41
Arroyomolinos de León;746;009;Sevilla Norte;Sevilla;41
Brenes;747;018;Sevilla Norte;Sevilla;41
Burguillos;748;019;Sevilla Norte;Sevilla;41
Cala;749;016;Sevilla Norte;Sevilla;41
Campana (La);750;022;Sevilla Norte;Sevilla;41
Cantillana;751;023;Sevilla Norte;Sevilla;41
Carmona;752;024;Sevilla Norte;Sevilla;41
Castilblanco de los Arroyos;753;027;Sevilla Norte;Sevilla;41
Castillo de las Guardas (El);754;031;Sevilla Norte;Sevilla;41
Cazalla de la Sierra;755;032;Sevilla Norte;Sevilla;41
Constantina;756;033;Sevilla Norte;Sevilla;41
Garrobo (El);757;043;Sevilla Norte;Sevilla;41
Gerena;758;045;Sevilla Norte;Sevilla;41
Guadalcanal;759;048;Sevilla Norte;Sevilla;41
Guillena;760;049;Sevilla Norte;Sevilla;41
Lora del Río;761;055;Sevilla Norte;Sevilla;41
Madroño (El);762;057;Sevilla Norte;Sevilla;41
Mairena del Alcor;763;058;Sevilla Norte;Sevilla;41
Navas de la Concepción (Las);764;066;Sevilla Norte;Sevilla;41
Pedroso (El);765;073;Sevilla Norte;Sevilla;41
Puebla de los Infantes (La);766;078;Sevilla Norte;Sevilla;41
Real de la Jara (El);767;080;Sevilla Norte;Sevilla;41
Rinconada (La);768;081;Sevilla Norte;Sevilla;41
Ronquillo (El);769;083;Sevilla Norte;Sevilla;41
San Nicolás del Puerto;770;088;Sevilla Norte;Sevilla;41
Santa Olalla del Cala;771;069;Sevilla Norte;Sevilla;41
Tocina;772;092;Sevilla Norte;Sevilla;41
Villanueva del Río y Minas;773;099;Sevilla Norte;Sevilla;41
Villaverde del Río;774;101;Sevilla Norte;Sevilla;41
Viso del Alcor (El);775;102;Sevilla Norte;Sevilla;41
Zufre;776;079;Sevilla Norte;Sevilla;41
Alcalá de Guadaíra;777;004;Sevilla Sur;Sevilla;41
Arahal;778;011;Sevilla Sur;Sevilla;41
Cabezas de San Juan (Las);779;020;Sevilla Sur;Sevilla;41
Coripe;780;035;Sevilla Sur;Sevilla;41
Coronil (El);781;036;Sevilla Sur;Sevilla;41
Cuervo de Sevilla (El);782;903;Sevilla Sur;Sevilla;41
Dos Hermanas;783;038;Sevilla Sur;Sevilla;41
Lebrija;784;053;Sevilla Sur;Sevilla;41
Molares (Los);785;063;Sevilla Sur;Sevilla;41
Montellano;786;064;Sevilla Sur;Sevilla;41
Morón de la Frontera;787;065;Sevilla Sur;Sevilla;41
Palacios y Villafranca (Los);788;069;Sevilla Sur;Sevilla;41
Palmar de Troya (El);789;904;Sevilla Sur;Sevilla;41
Paradas;790;071;Sevilla Sur;Sevilla;41
Pruna;791;076;Sevilla Sur;Sevilla;41
Utrera;792;095;Sevilla Sur;Sevilla;41
Municipio de Sevilla sin especificar;793;0;DS de Sevilla desconocido;Sevilla;41
