"Fecha";"Mes";"Año";"Semana";"Nombre del Mes";"Tipo de Fecha";"cod_cuando"
"16/01/2021";1;2021;3;"Enero";"Día natural";111
"15/01/2021";1;2021;3;"Enero";"Día natural";112
"14/01/2021";1;2021;2;"Enero";"Día natural";113
"13/01/2021";1;2021;2;"Enero";"Día natural";114
"12/01/2021";1;2021;2;"Enero";"Día natural";115
"11/01/2021";1;2021;2;"Enero";"Día natural";116
"10/01/2021";1;2021;2;"Enero";"Día natural";117
"09/01/2021";1;2021;2;"Enero";"Día natural";118
"08/01/2021";1;2021;2;"Enero";"Día natural";119
"07/01/2021";1;2021;1;"Enero";"Día natural";120
"06/01/2021";1;2021;1;"Enero";"Día natural";121
"05/01/2021";1;2021;1;"Enero";"Día natural";122
"04/01/2021";1;2021;1;"Enero";"Día natural";123
"03/01/2021";1;2021;1;"Enero";"Día natural";124
"02/01/2021";1;2021;1;"Enero";"Día natural";125
"01/01/2021";1;2021;1;"Enero";"Día natural";126
"31/12/2020";12;2020;53;"Diciembre";"Día natural";127
"30/12/2020";12;2020;53;"Diciembre";"Día natural";128
"29/12/2020";12;2020;52;"Diciembre";"Día natural";129
"28/12/2020";12;2020;52;"Diciembre";"Día natural";130
"27/12/2020";12;2020;52;"Diciembre";"Día natural";131
"26/12/2020";12;2020;52;"Diciembre";"Día natural";132
"25/12/2020";12;2020;52;"Diciembre";"Día natural";133
"24/12/2020";12;2020;52;"Diciembre";"Día natural";134
"23/12/2020";12;2020;52;"Diciembre";"Día natural";135
"22/12/2020";12;2020;51;"Diciembre";"Día natural";136
"21/12/2020";12;2020;51;"Diciembre";"Día natural";137
"20/12/2020";12;2020;51;"Diciembre";"Día natural";138
"19/12/2020";12;2020;51;"Diciembre";"Día natural";139
"18/12/2020";12;2020;51;"Diciembre";"Día natural";140
"17/12/2020";12;2020;51;"Diciembre";"Día natural";141
"16/12/2020";12;2020;51;"Diciembre";"Día natural";142
"15/12/2020";12;2020;50;"Diciembre";"Día natural";143
"14/12/2020";12;2020;50;"Diciembre";"Día natural";144
"13/12/2020";12;2020;50;"Diciembre";"Día natural";145
"12/12/2020";12;2020;50;"Diciembre";"Día natural";146
"11/12/2020";12;2020;50;"Diciembre";"Día natural";147
"10/12/2020";12;2020;50;"Diciembre";"Día natural";148
"09/12/2020";12;2020;50;"Diciembre";"Día natural";149
"08/12/2020";12;2020;49;"Diciembre";"Día natural";150
"07/12/2020";12;2020;49;"Diciembre";"Día natural";151
"06/12/2020";12;2020;49;"Diciembre";"Día natural";152
"05/12/2020";12;2020;49;"Diciembre";"Día natural";153
"04/12/2020";12;2020;49;"Diciembre";"Día natural";154
"03/12/2020";12;2020;49;"Diciembre";"Día natural";155
"02/12/2020";12;2020;49;"Diciembre";"Día natural";156
"01/12/2020";12;2020;48;"Diciembre";"Día natural";157
"30/11/2020";11;2020;48;"Noviembre";"Día natural";158
"29/11/2020";11;2020;48;"Noviembre";"Día natural";159
"28/11/2020";11;2020;48;"Noviembre";"Día natural";160
"27/11/2020";11;2020;48;"Noviembre";"Día natural";161
"26/11/2020";11;2020;48;"Noviembre";"Día natural";162
"25/11/2020";11;2020;48;"Noviembre";"Día natural";163
"24/11/2020";11;2020;47;"Noviembre";"Día natural";164
"23/11/2020";11;2020;47;"Noviembre";"Día natural";165
"22/11/2020";11;2020;47;"Noviembre";"Día natural";166
"21/11/2020";11;2020;47;"Noviembre";"Día natural";167
"20/11/2020";11;2020;47;"Noviembre";"Día natural";168
"19/11/2020";11;2020;47;"Noviembre";"Día natural";169
"18/11/2020";11;2020;47;"Noviembre";"Día natural";170
"17/11/2020";11;2020;46;"Noviembre";"Día natural";171
"16/11/2020";11;2020;46;"Noviembre";"Día natural";172
"15/11/2020";11;2020;46;"Noviembre";"Día natural";173
"14/11/2020";11;2020;46;"Noviembre";"Día natural";174
"13/11/2020";11;2020;46;"Noviembre";"Día natural";175
"12/11/2020";11;2020;46;"Noviembre";"Día natural";176
"11/11/2020";11;2020;46;"Noviembre";"Día natural";177
"10/11/2020";11;2020;45;"Noviembre";"Día natural";178
"09/11/2020";11;2020;45;"Noviembre";"Día natural";179
"08/11/2020";11;2020;45;"Noviembre";"Día natural";180
"07/11/2020";11;2020;45;"Noviembre";"Día natural";181
"06/11/2020";11;2020;45;"Noviembre";"Día natural";182
"05/11/2020";11;2020;45;"Noviembre";"Día natural";183
"04/11/2020";11;2020;45;"Noviembre";"Día natural";184
"03/11/2020";11;2020;44;"Noviembre";"Día natural";185
"02/11/2020";11;2020;44;"Noviembre";"Día natural";186
"01/11/2020";11;2020;44;"Noviembre";"Día natural";187
"31/10/2020";10;2020;44;"Octubre";"Día natural";188
"30/10/2020";10;2020;44;"Octubre";"Día natural";189
"29/10/2020";10;2020;44;"Octubre";"Día natural";190
"28/10/2020";10;2020;44;"Octubre";"Día natural";191
"27/10/2020";10;2020;43;"Octubre";"Día natural";192
"26/10/2020";10;2020;43;"Octubre";"Día natural";193
"25/10/2020";10;2020;43;"Octubre";"Día natural";194
"24/10/2020";10;2020;43;"Octubre";"Día natural";195
"23/10/2020";10;2020;43;"Octubre";"Día natural";196
"22/10/2020";10;2020;43;"Octubre";"Día natural";197
"21/10/2020";10;2020;43;"Octubre";"Día natural";198
"20/10/2020";10;2020;42;"Octubre";"Día natural";199
"19/10/2020";10;2020;42;"Octubre";"Día natural";200
"18/10/2020";10;2020;42;"Octubre";"Día natural";201
"17/10/2020";10;2020;42;"Octubre";"Día natural";202
"16/10/2020";10;2020;42;"Octubre";"Día natural";203
"15/10/2020";10;2020;42;"Octubre";"Día natural";204
"14/10/2020";10;2020;42;"Octubre";"Día natural";205
"13/10/2020";10;2020;41;"Octubre";"Día natural";206
"12/10/2020";10;2020;41;"Octubre";"Día natural";207
"11/10/2020";10;2020;41;"Octubre";"Día natural";208
